  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.492        5.461            0      505.936      437.339       92.573
      127        1.667        5.284            0      500.263      432.745       91.406
      128        1.580        5.411            0      507.281      425.913       86.833
      129        1.766        5.371            0      507.728      410.507       83.482
      130        1.829        5.406            0      505.616      437.857       88.671
      131        1.965        5.181            0      498.342      434.989       86.932
      132        1.583        5.299            0      507.880      429.076       84.476
      133        1.529        5.324            0      504.836      406.794       83.699
      134        1.561        5.380            0      507.585      434.578       90.348
      135        1.284        5.387            0      510.315      448.054       91.064
      136        1.601        5.318            0      509.646      447.150       87.417
      137        1.673        5.340            0      506.369      424.899       86.419
      138        1.534        5.360            0      508.923      429.971       84.190
      139        1.881        5.250            0      502.792      394.863       84.316
      140        1.621        5.386            0      504.171      412.071       90.429
      141        1.586        5.432            0      506.650      428.273       84.310
      142        1.516        5.369            0      504.473      405.801       89.094
      143        1.887        5.366            0      504.128      403.514       86.269
      144        1.509        5.485            0      512.333      425.734       90.238
      145        1.557        5.399            0      506.169      413.899       86.319
      146        1.518        5.477            0      510.269      417.854       90.083
      147        1.303        5.533            0      510.509      410.716       88.769
      148        1.598        5.372            0      508.067      427.749       90.691
      149        1.433        5.366            0      507.449      432.451       89.359
      150        1.499        5.400            0      510.176      451.204       82.453
      151        1.548        5.404            0      503.873      420.950       87.529
      152        1.402        5.466            0      504.954      454.493       90.501
      153        1.463        5.452            0      507.721      409.059       88.907
      154        1.402        5.371            0      509.867      436.228       92.992
      155        1.871        5.205            0      503.013      453.552       82.268
      156        1.666        5.395            0      500.309      417.005       87.653
      157        1.295        5.407            0      510.671      449.370       86.049
      158        1.684        5.199            0      497.434      401.694       85.413
      159        1.421        5.334            0      507.471      432.263       90.945
      160        1.655        5.242            0      506.202      407.840       90.982
      161        1.631        5.170            0      500.944      382.516       92.912
      162        1.655        5.358            0      504.320      408.200       86.847
      163        1.596        5.372            0      504.367      418.961       84.440
      164        1.498        5.359            0      505.501      442.641       90.910
      165        1.370        5.507            0      509.001      424.426       84.287
      166        1.435        5.390            0      505.220      401.361       92.018
      167        1.515        5.428            0      502.907      438.882       91.047
      168        1.275        5.466            0      505.562      431.105       87.660
      169        1.433        5.506            0      506.185      429.048       87.868
      170        1.717        5.251            0      504.420      409.806       85.401
      171        1.555        5.284            0      502.122      417.280       94.124
      172        1.546        5.352            0      511.282      420.763       91.723
      173        1.776        5.230            0      508.649      423.076       80.398
      174        1.444        5.396            0      509.963      408.048       87.802
      175        1.369        5.238            0      504.823      419.524       95.149
      176        1.705        5.280            0      498.661      400.658       89.702
      177        1.566        5.300            0      505.416      394.185       86.769
      178        1.687        5.289            0      506.505      390.796       88.616
      179        1.688        5.281            0      501.703      370.938       89.717
      180        1.514        5.337            0      510.715      393.221       90.306
      181        1.530        5.315            0      505.215      394.574       87.072
      182        1.418        5.410            0      514.095      413.609       90.993
      183        1.446        5.422            0      504.676      392.394       90.282
      184        1.394        5.398            0      508.717      421.856       85.095
      185        1.400        5.424            0      504.080      415.760       86.861
      186        1.425        5.351            0      502.504      403.076       93.345
      187        1.539        5.494            0      511.266      404.827       79.226
      188        1.744        5.395            0      506.513      370.884       89.115
      189        1.509        5.336            0      504.013      397.057       87.059
      190        1.447        5.394            0      507.384      385.143       91.455
      191        1.331        5.350            0      503.517      403.264       90.213
      192        1.256        5.388            0      508.302      433.656       91.766
      193        1.553        5.349            0      513.811      402.206       81.023
      194        1.461        5.460            0      509.856      410.942       89.407
      195        1.530        5.442            0      506.509      396.412       91.278
      196        1.693        5.344            0      506.212      407.948       86.925
      197        1.592        5.381            0      509.057      392.140       90.788
      198        1.485        5.532            0      510.389      388.433       86.599
      199        1.426        5.301            0      509.163      396.370       96.458
      200        1.438        5.412            0      514.161      390.172       90.325
      201        1.546        5.448            0      508.697      405.436       86.966
      202        1.443        5.444            0      505.470      391.407       90.158
      203        1.526        5.300            0      508.155      407.480       86.859
      204        1.566        5.307            0      507.885      383.106       89.724
      205        1.379        5.431            0      509.231      422.396       87.537
      206        1.541        5.305            0      506.664      397.297       93.787
      207        1.874        5.238            0      502.024      395.880       86.881
      208        1.543        5.405            0      507.077      423.304       85.845
      209        1.350        5.300            0      505.321      391.462       90.385
      210        1.656        5.406            0      506.222      409.266       91.165
      211        1.568        5.401            0      509.398      416.030       86.015
      212        1.419        5.289            0      506.630      418.776       89.561
      213        1.560        5.254            0      502.314      378.819       93.741
      214        1.522        5.333            0      511.972      399.684       85.930
      215        1.538        5.271            0      504.907      398.596       83.085
      216        1.802        5.415            0      506.967      370.207       90.439
      217        1.282        5.403            0      513.760      419.441       87.949
      218        1.592        5.251            0      500.896      369.813       94.104
      219        1.325        5.390            0      505.457      394.646       90.243
      220        1.468        5.256            0      500.519      369.030       88.829
      221        1.333        5.475            0      511.422      427.665       90.156
      222        1.501        5.319            0      501.831      400.917       87.326
      223        1.490        5.261            0      502.832      391.839       88.615
      224        1.592        5.444            0      509.026      400.106       85.373
      225        1.643        5.344            0      508.096      395.195       83.929
      226        1.552        5.399            0      506.119      429.307       85.891
      227        1.448        5.449            0      511.830      450.126       89.430
      228        1.436        5.369            0      509.979      426.562       88.818
      229        1.470        5.470            0      510.373      426.232       86.519
      230        1.538        5.488            0      507.326      390.154       88.972
      231        1.518        5.287            0      505.214      384.373       91.612
      232        1.380        5.406            0      503.771      402.581       89.436
      233        1.439        5.443            0      509.851      402.754       86.792
      234        1.429        5.333            0      502.973      401.406       87.211
      235        1.701        5.357            0      500.779      402.778       87.541
      236        1.880        5.076            0      487.624      404.452       90.401
      237        1.296        5.361            0      504.271      436.134       86.753
      238        1.625        5.173            0      492.539      393.563       90.906
      239        1.364        5.341            0      504.816      429.068       89.667
      240        1.282        5.447            0      509.088      410.312       85.428
      241        1.248        5.248            0      503.695      415.137       91.615
      242        1.124        5.315            0      497.438      441.064       86.190
      243        1.285        5.300            0      506.445      390.170       84.220
      244        1.480        5.249            0      504.006      437.292       87.428
      245        1.235        5.215            0      495.366      418.834       92.621
      246        1.206        5.163            0      498.723      406.478       87.098
      247        1.328        5.366            0      508.927      430.203       83.317
      248        1.169        5.235            0      506.251      455.511       94.401
      249        1.187        5.205            0      499.621      410.340       90.651
      250        1.297        5.372            0      509.338      430.532       88.209
      251        1.246        5.347            0      505.811      437.387       91.424
      252        1.084        5.397            0      510.567      419.753       85.194
      253        1.323        5.380            0      503.715      402.293       84.799
      254        1.456        5.385            0      506.467      398.813       79.052
      255        1.429        5.366            0      507.076      457.493       85.042
      256        1.526        5.284            0      501.558      408.463       85.219
      257        1.660        5.428            0      507.810      426.162       86.662
      258        1.442        5.466            0      508.910      427.975       82.942
      259        1.278        5.284            0      502.812      400.956       87.464
      260        1.229        5.278            0      508.224      409.304       88.038
      261        1.190        5.349            0      506.021      414.633       91.653
      262        1.909        5.303            0      498.356      417.980       84.821
      263        1.562        5.278            0      507.131      407.081       88.257
      264        1.310        5.284            0      497.012      403.388       89.561
      265        1.161        5.296            0      502.066      452.484       89.160
      266        1.732        5.238            0      499.030      418.585       84.507
      267        1.595        5.160            0      497.572      437.234       84.313
      268        1.752        5.048            0      499.906      434.137       84.502
      269        1.435        5.381            0      510.190      416.020       82.304
      270        1.688        5.273            0      501.359      401.273       84.418
      271        1.282        5.305            0      506.819      451.108       88.732
      272        1.376        5.333            0      501.708      436.342       86.121
      273        1.160        5.253            0      504.759      451.151       81.457
      274        1.407        5.398            0      506.337      458.687       82.650
      275        1.447        5.512            0      513.439      432.422       85.754
      276        1.210        5.277            0      494.393      408.727       91.610
      277        1.203        5.278            0      504.425      439.103       90.543
      278        1.356        5.340            0      504.752      427.152       83.976
      279        1.382        5.187            0      499.938      409.211       89.393
      280        1.359        5.206            0      506.112      444.990       93.277
      281        1.175        5.295            0      500.158      442.367       93.065
      282        1.630        5.003            0      499.240      441.445       81.378
      283        1.400        5.149            0      500.962      415.819       81.228
      284        1.561        5.112            0      497.639      400.259       86.106
      285        1.434        5.219            0      497.663      419.393       86.747
      286        1.275        5.201            0      501.282      434.469       86.576
      287        1.616        5.014            0      494.214      404.603       79.245
      288        1.383        5.167            0      498.657      427.981       81.792
      289        1.319        5.177            0      501.149      417.355       83.734
      290        1.503        5.474            0      506.121      433.147       86.402
      291        1.571        5.335            0      499.112      411.985       90.109
      292        1.620        5.374            0      501.127      417.747       82.177
      293        1.543        5.310            0      506.271      421.188       85.680
      294        1.462        5.307            0      504.675      420.636       84.377
      295        1.658        5.175            0      499.070      410.995       80.170
      296        1.590        5.430            0      505.308      432.128       81.777
      297        1.596        5.200            0      502.637      439.913       89.808
      298        1.267        5.307            0      501.645      447.784       82.023
      299        1.356        5.187            0      497.410      403.181       85.138
      300        1.571        5.149            0      503.411      417.020       81.171
      301        1.523        5.202            0      502.420      439.876       85.702
      302        1.902        4.969            0      497.718      396.677       69.543
      303        1.732        4.948            0      494.745      411.600       78.052
      304        1.680        5.328            0      508.620      424.773       86.147
      305        1.763        5.135            0      501.508      444.507       89.645
      306        1.729        5.416            0      504.353      421.153       82.978
      307        1.247        5.355            0      506.137      414.155       85.260
      308        1.612        5.242            0      503.125      424.693       83.479
      309        1.712        5.232            0      503.211      412.621       90.062
