## Torsion are defined with the following atomIDs:
# dihed1: ai= 2462 aj= 2461 ak= 2460 al= 2458
# dihed2: ai= 2455 aj= 2454 ak= 2453 al= 2451
# dihed3: ai= 2454 aj= 2453 ak= 2451 al= 2450
# dihed4: ai= 2453 aj= 2451 ak= 2450 al= 2449
# dihed5: ai= 2436 aj= 2435 ak= 2434 al= 2431
# dihed6: ai= 2447 aj= 2436 ak= 2437 al= 2439
# dihed7: ai= 2436 aj= 2437 ak= 2439 al= 2440
# dihed8: ai= 2430 aj= 2429 ak= 2428 al= 2427
# dihed9: ai= 2429 aj= 2428 ak= 2427 al= 2423
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
66  -23.020 -101.722  -15.138  117.443  -93.654   -9.185  119.035 -166.657   73.991
67  -48.379  -80.435  -41.314  115.809  -87.250   10.647   96.802 -171.676   61.843
68  151.611 -106.232   -2.499  109.582 -116.557    6.678   83.001 -146.522   65.781
69 -179.888 -115.620    2.735   87.205 -100.389   30.120   70.277 -146.659  129.613
70 -163.014 -100.440  -31.126  115.848 -107.535  -14.117   83.689 -130.463   73.668
71  135.998  -81.123  -36.268  137.203  -55.464   10.874   90.249 -144.200   66.072
72 -171.909 -114.813  -11.588  123.624 -106.091  -11.878   86.101  -18.224  162.776
73  173.916 -110.300  -15.742  122.179 -103.338  -14.499   95.102   -3.884  166.336
74  156.898  -86.265  -22.538  121.624 -113.916  -21.723  103.566   26.635  150.491
75 -152.584  -92.829  -31.822  118.370 -100.446   23.282   72.480  -58.349   96.635
76   62.975 -124.996    4.326  126.969  -95.090   12.722   82.930  -29.709  123.559
77  -68.851 -113.662   -0.367  105.637  -84.575    3.019  102.908   -8.056 -169.937
78  -46.890 -116.171  -10.869  113.035 -101.375  -12.818  117.263  -32.142  160.851
79  -68.341 -106.360    1.306   95.698 -101.832   10.848   77.740  -25.177   99.964
80   34.099 -115.679   -8.045  120.891  -91.224   12.238   86.111  -60.581  137.917
81 -178.191 -140.567    8.164  103.434  -99.077   16.438   83.473  -37.592 -175.464
82  163.891  -88.822  -31.574  120.009  -82.624   11.113   61.333  -15.826 -169.898
83  -46.892 -102.040  -20.134  106.710  -59.304  -13.180  109.189  -39.046  171.256
84  -51.347 -112.873  -12.607  123.971  -99.495    8.565  102.521  -12.243  179.064
85  -89.036  -82.131  -18.199  114.216  -94.631   -2.604   96.365  -24.058  178.922
86  156.922  -86.543  -27.549  123.958  -94.839   18.483   91.294    1.671  149.223
87 -170.301 -111.073   -5.702  122.089  -88.300    5.928   77.133  -22.733  164.141
88 -172.893 -111.865    6.303  117.922 -133.390   14.039   59.780   28.361  158.241
89  -68.466 -104.925  -27.562  130.091  -83.220  -12.445  116.688  -75.208  132.206
90  -29.220  -95.333  -31.171  115.881  -69.247  -21.587  119.776   -5.928 -172.766
91  -62.717 -119.953  -11.205  125.039  -91.081  -22.650  120.250  -27.233   90.089
92   44.257 -115.137   -7.885  129.694  -98.552   -1.753   89.789  -66.967  139.054
93   46.262  -84.796  -22.509  115.972  -96.015  -17.797  122.132   -6.527  177.720
94   38.445  -95.383  -17.499  121.429  -95.131  -19.307  100.742  -10.293  164.768
95   64.034  -90.165  -20.801  113.701 -112.996    3.946  108.871    5.658  157.678
96   62.320 -125.561  -14.402  104.169  -87.326  -11.023  122.121   -4.955  170.334
97   14.094  -78.598  -39.251  129.628 -100.980   13.131   82.215    6.553  160.922
98  -63.734 -105.592  -15.055  108.135  -92.113   -5.191   71.518  -20.431  172.968
99  157.009 -110.072   -9.827  109.129  -91.672    9.740   92.871   -6.907  163.532
100 -176.267  -93.371  -30.142  135.765  -74.152   -8.295  108.672   -3.524  167.516
101 -162.407 -104.849  -15.286  129.119  -58.627    2.550   77.481  -69.756  165.579
102 -172.333 -125.866  -10.711  125.654  -96.820    4.164   85.427  -42.788   87.610
103  175.809  -92.417  -23.949  108.602 -102.362   10.267   92.825   24.452  149.282
104  -30.417 -134.374   -2.844   99.696  -98.070   12.057   75.942   -2.300  163.365
105  -37.585 -128.289    0.862  105.715  -85.248  -17.730  118.324  -35.803 -170.993
106  -72.335 -104.012  -15.482  127.784 -108.830   -9.741  111.826  -32.278  154.340
107  -65.483 -109.859   -9.691  123.502 -113.290   25.184   76.595  -43.321  122.349
108  -67.703 -113.925  -30.475  123.428  -89.795   13.293   80.809  -47.994  129.227
109  -71.827 -115.441  -20.953  125.943  -83.459   13.723   85.144  -61.586  149.031
110  -65.993 -125.970   -0.055  118.812  -91.645  -14.879  133.270  -48.755  101.471
111 -146.455  -90.176   -5.464   98.861  -87.322   13.511  102.594  -60.591   99.917
112  -82.379 -103.969   -6.403  124.780 -117.610   18.042   66.719  -49.640  138.407
113 -173.795 -107.919    1.172  132.291  -99.662  -17.080   98.304  -37.597   98.603
114  -41.735 -110.153  -17.281  129.378 -101.109  -12.867   94.594  -15.558   93.438
115  161.007 -118.984   -0.730  113.879  -86.090    4.592   86.860  -36.591  121.867
116   13.457  -81.568  -35.485  133.092  -79.022    6.665  104.444  -36.163  119.796
117  168.737 -110.686  -15.199  126.438  -96.107  -33.247   99.884  -20.132  179.843
118   52.651 -107.590   -9.814  126.781  -70.778   15.667   79.775  -51.083 -166.698
119   95.897 -115.030    0.282  126.586  -77.401  -29.432  129.609  -54.519   93.362
120   37.977 -103.561  -26.278  121.923 -103.516  -12.988  117.064  -30.830  121.064
121   60.122 -114.092    0.600  107.711 -107.378    2.808   94.816    5.098  152.826
122   49.432 -111.762   -7.946  123.033 -101.421  -15.926  107.962   12.974  137.639
123   61.820 -101.432  -23.052  127.225  -92.250   24.298   78.011  -36.466  119.845
124   44.845 -103.358  -21.458  131.569 -117.226    7.386   91.481   11.599  162.801
125   87.560 -113.950  -21.977  113.276  -92.930    5.118   86.080   -7.826 -178.784
126   66.047 -103.275  -22.845  113.540  -94.490   -3.591   85.048  -22.190   85.204
127   79.586  -96.732  -18.460  130.616  -89.218    4.738   89.568  -30.575  106.336
128   83.417 -127.681    8.635  115.524  -88.660   -0.707   92.205  -13.405  104.866
129   66.240 -116.362    0.564  130.558 -104.469   27.636   82.473  -14.681  101.951
130   62.718 -128.882  -17.654  134.454  -68.565  -24.676  113.402  -45.865  113.679
131  176.275 -104.541   -9.025  130.036 -104.749  -23.601   95.675  -31.816  108.059
132  173.010  -99.068   -7.871  116.716  -85.538  -19.430  123.951  -89.816  103.746
133 -144.921 -106.213  -20.301  126.143  -89.720  -10.543  111.034  -43.560  119.989
134  173.294  -85.446  -28.848  130.292  -85.866    3.121  102.342    4.487  154.551
135  167.591  -91.955  -27.147  111.978 -102.157   12.586   93.079   19.452  153.552
136  174.939 -111.795  -18.131  127.837  -99.692   -6.005  113.983   -9.522  164.051
137  174.960  -90.712  -37.515  148.790  -92.102   20.584   60.353  -15.641   91.743
138 -172.518 -109.035   -3.268  118.727 -102.077  -10.490  113.390   12.603  167.053
139 -175.576 -114.084    2.716  116.998  -82.051    6.745   74.922  -51.643   95.075
140  167.978 -113.126  -25.082  123.998  -85.569   -0.423   71.838  -24.490 -169.994
141 -175.595 -119.620  -18.024  125.817  -87.197   33.046   54.279    6.644 -177.335
142  164.557 -105.194  -10.315  123.970  -95.383    8.427   83.462  -43.908  104.446
143   59.290 -127.655   -1.375  130.349  -92.290    3.357   86.848  -33.696   99.684
144 -173.551 -114.139  -15.402  121.731  -98.495   -3.020   71.945   -4.029  166.107
145  166.364 -123.090   -5.105  111.488  -87.440   -9.448   88.737  -20.907  179.213
146  174.627 -113.923   -7.402  119.925  -99.786    4.630   85.873   -0.239 -175.705
147  103.298 -105.203  -20.818  105.677 -104.609    9.480   73.255   -3.550 -173.434
148   57.603 -103.000  -17.602  120.694  -91.343   16.906   82.629   18.253  164.403
149   51.849 -112.224  -11.217  116.637  -82.205  -16.617  112.936  -34.334 -166.500
150   46.410 -107.056    3.848  115.579 -122.392    7.403  104.421   48.371  136.140
151   63.339 -100.565  -14.887  117.966 -111.102   14.674   99.893   -0.708  167.176
152   70.888 -122.274    0.897  114.179 -118.956    8.845   86.980   15.670  138.331
153   67.660 -106.368  -21.161  117.171  -84.800  -12.929   83.568    2.636  162.350
154   64.871  -82.496  -32.245  133.964  -99.470   -1.065   83.061  -11.705  174.249
155   66.684 -113.598   10.210  127.484  -93.922    7.295   90.370   18.314  171.455
156  164.961 -135.499    8.623  108.937  -77.553   35.718   70.855  -18.201 -175.441
157 -178.833 -111.371   -3.851  108.379 -116.467    0.019   90.703  -27.383   95.537
158  157.917 -105.881   -2.687  121.741  -67.216  -19.826  106.849  -46.339  138.981
159 -176.905 -105.902  -11.689  125.435 -119.253   -7.607   77.684  -18.907  170.675
