  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.518        5.746            0      501.718      500.117       54.255
      127        1.640        5.748            0      497.270      526.569       58.375
      128        1.843        5.665            0      497.622      486.042       55.640
      129        1.986        5.706            0      498.549      480.249       54.284
      130        1.790        5.713            0      499.638      528.083       52.699
      131        1.785        5.848            0      499.661      524.308       55.313
      132        1.164        5.670            0      498.246      516.245       59.295
      133        1.414        5.757            0      500.244      489.792       53.758
      134        1.364        5.761            0      507.280      482.305       51.470
      135        1.530        5.803            0      502.129      469.317       51.805
      136        1.335        5.684            0      498.897      490.955       56.167
      137        1.790        5.646            0      496.380      476.199       53.413
      138        0.991        5.808            0      501.285      508.179       57.293
      139        1.668        5.686            0      496.093      547.329       55.134
      140        1.936        5.744            0      498.157      493.185       56.084
      141        1.896        5.690            0      497.476      490.514       60.560
      142        1.787        5.756            0      500.468      503.820       58.031
      143        1.667        5.730            0      502.905      514.270       56.088
      144        1.458        5.638            0      497.184      477.563       51.851
      145        1.186        5.689            0      501.286      480.536       52.593
      146        1.442        5.695            0      497.450      553.788       53.109
      147        1.610        5.655            0      493.351      488.463       56.991
      148        1.540        5.670            0      497.460      489.627       54.560
      149        1.196        5.727            0      502.901      492.209       51.861
      150        1.199        5.696            0      502.498      513.749       59.345
      151        1.567        5.779            0      498.790      520.103       53.155
      152        1.459        5.785            0      501.571      490.018       51.391
      153        1.478        5.750            0      493.249      444.819       54.563
      154        1.267        5.749            0      502.913      509.065       53.188
      155        1.448        5.740            0      499.867      495.651       58.022
      156        1.557        5.803            0      498.376      487.227       56.139
      157        1.679        5.703            0      492.644      486.461       58.884
      158        1.231        5.694            0      497.898      491.077       52.840
      159        1.235        5.806            0      501.042      483.466       54.328
      160        1.500        5.664            0      501.643      473.026       58.519
      161        1.536        5.625            0      495.578      471.319       54.430
      162        1.444        5.738            0      497.531      498.106       53.877
      163        1.344        5.824            0      503.355      506.630       50.239
      164        1.944        5.763            0      500.357      536.691       51.704
      165        1.229        5.827            0      502.909      516.506       53.431
      166        1.421        5.734            0      497.080      484.415       57.155
      167        1.323        5.703            0      496.918      499.179       55.218
      168        1.360        5.711            0      496.428      503.065       55.927
      169        1.606        5.785            0      498.274      495.680       55.810
      170        1.495        5.750            0      497.784      508.984       58.738
      171        1.247        5.754            0      500.075      532.246       48.578
      172        0.634        5.659            0      497.538      502.729       57.614
      173        0.614        5.609            0      498.317      530.866       54.164
      174        0.607        5.700            0      504.154      519.182       58.390
      175        0.824        5.638            0      498.333      491.392       55.085
      176        1.504        5.707            0      499.288      479.314       50.255
      177        1.302        5.758            0      497.484      479.516       55.456
      178        1.356        5.814            0      497.791      508.615       57.043
      179        1.777        5.730            0      496.123      481.111       55.525
      180        1.122        5.793            0      499.629      497.288       51.154
      181        1.359        5.770            0      502.150      478.552       52.348
      182        1.483        5.627            0      491.847      465.321       52.472
      183        1.133        5.712            0      498.156      500.589       53.567
      184        1.527        5.774            0      498.978      482.643       54.624
      185        1.255        5.806            0      507.787      567.820       58.518
      186        1.245        5.732            0      501.567      554.934       53.530
      187        1.567        5.672            0      505.122      518.044       51.916
      188        1.393        5.558            0      494.907      523.514       47.830
      189        1.112        5.720            0      504.930      547.777       51.333
      190        1.805        5.679            0      494.921      565.526       58.858
      191        1.911        5.733            0      501.866      553.211       59.393
      192        1.344        5.796            0      507.166      549.329       52.778
      193        1.637        5.775            0      502.886      545.720       52.175
      194        1.545        5.738            0      497.622      478.109       55.720
      195        1.842        5.687            0      499.505      482.879       52.185
      196        1.736        5.679            0      492.865      443.745       62.871
      197        1.576        5.771            0      499.399      512.948       53.608
      198        1.497        5.675            0      499.756      533.431       55.107
      199        0.987        5.646            0      498.186      489.046       55.300
      200        1.461        5.665            0      497.956      485.070       53.831
      201        1.931        5.651            0      497.096      509.007       54.640
      202        1.590        5.707            0      497.910      852.801       54.068
      203        1.585        5.724            0      497.891      524.358       56.123
      204        1.606        5.730            0      495.916      515.958       51.041
      205        1.744        5.746            0      500.335      859.745       55.316
      206        1.670        5.707            0      501.217      515.838       58.287
      207        1.167        5.600            0      496.179      515.530       52.644
      208        1.222        5.638            0      494.937      463.043       54.345
      209        1.280        5.723            0      501.686      498.650       52.808
      210        1.221        5.810            0      501.264      542.478       54.650
      211        1.305        5.812            0      504.154      524.967       52.249
      212        1.256        5.771            0      501.263      489.582       58.420
      213        1.024        5.744            0      503.584      522.316       52.101
      214        1.184        5.831            0      505.179      543.001       55.664
      215        1.030        5.533            0      493.925      474.140       54.704
      216        1.143        5.719            0      504.771      496.752       52.590
      217        1.283        5.758            0      501.475      501.268       55.672
      218        1.185        5.739            0      501.486      522.778       50.847
      219        1.284        5.591            0      497.057      495.285       56.942
      220        1.036        5.645            0      502.723      509.963       55.009
      221        0.888        5.639            0      499.375      510.849       57.482
      222        1.248        5.715            0      502.014      507.710       55.670
      223        1.120        5.652            0      501.184      460.558       58.024
      224        1.010        5.690            0      499.263      497.068       55.385
      225        1.092        5.706            0      501.462      507.164       53.047
      226        1.383        5.690            0      497.897      478.568       56.346
      227        1.864        5.711            0      496.695      504.754       55.026
      228        1.345        5.696            0      500.030      466.282       60.610
      229        1.463        5.715            0      501.644      481.895       55.373
      230        1.343        5.833            0      502.757      515.300       57.302
      231        1.240        5.635            0      496.200      575.232       53.628
      232        1.203        5.725            0      502.381      499.866       57.274
      233        1.250        5.676            0      500.038      489.714       61.080
      234        1.416        5.631            0      497.559      505.620       56.469
      235        1.155        5.672            0      498.689      467.669       62.480
      236        1.649        5.672            0      494.563      479.645       50.547
      237        1.322        5.640            0      497.588      510.141       55.176
      238        1.299        5.816            0      503.205      524.893       52.553
      239        1.511        5.679            0      500.657      499.855       54.544
      240        1.288        5.572            0      493.824      536.967       61.381
      241        1.069        5.577            0      496.107      504.471       49.999
      242        1.156        5.716            0      501.347      502.998       53.813
      243        1.548        5.667            0      495.088      507.903       48.603
      244        1.274        5.754            0      498.845      524.113       53.226
      245        1.355        5.658            0      496.013      518.921       53.160
      246        1.724        5.745            0      501.990      510.313       51.421
      247        1.522        5.637            0      500.582      530.902       52.688
      248        1.868        5.819            0      498.140      547.038       59.365
      249        1.637        5.622            0      496.481      536.847       50.454
      250        1.876        5.688            0      497.615      525.083       56.133
      251        1.272        5.763            0      501.113      521.631       57.859
      252        1.948        5.753            0      498.800      532.563       54.914
      253        2.173        5.687            0      505.118      529.503       50.092
      254        1.436        5.714            0      502.511      546.029       53.834
      255        1.701        5.692            0      501.719      543.381       53.848
      256        1.584        5.796            0      503.260      569.115       55.364
      257        1.943        5.656            0      493.172      537.312       56.629
      258        2.066        5.644            0      496.261      525.389       53.916
      259        1.711        5.658            0      496.440      534.852       48.675
      260        2.147        5.706            0      504.483      547.695       54.093
      261        1.755        5.700            0      496.322      511.585       52.470
      262        1.497        5.780            0      502.408      560.180       54.663
      263        1.549        5.832            0      499.054      572.790       55.832
      264        1.753        5.724            0      505.328      529.366       53.981
      265        1.963        5.561            0      493.404      537.942       52.384
      266        2.118        5.638            0      502.178      582.310       52.401
      267        1.523        5.707            0      499.865      591.056       51.408
      268        1.172        5.865            0      502.098      640.547       56.123
      269        1.212        5.635            0      498.355      635.934       57.418
      270        1.310        5.741            0      500.987      692.934       55.167
      271        1.098        5.538            0      500.087      644.005       52.464
      272        1.331        5.558            0      498.986      634.844       48.152
      273        2.108        5.267            0      496.749      657.677       48.543
      274        2.216        5.196            0      495.332      618.243       48.298
      275        2.394        5.242            0      498.032      606.730       46.936
      276        2.395        5.266            0      499.922      595.376       47.692
      277        2.594        5.137            0      495.554      571.476       45.239
      278        2.626        4.978            0      492.316      594.171       45.864
      279        2.454        5.131            0      493.121      645.285       45.054
      280        2.787        4.952            0      503.688      640.598       46.437
      281        2.858        4.893            0      499.043      612.162       42.232
      282        2.481        5.058            0      500.028      615.269       49.964
      283        2.502        5.176            0      502.475      583.943       48.812
      284        2.672        5.246            0      504.332      588.591       47.309
      285        3.039        4.986            0      479.582      562.720       56.260
      286        3.190        4.965            0      469.699      531.822       52.759
      287        3.081        5.017            0      473.562      544.509       56.268
      288        2.997        5.040            0      467.330      556.974       54.834
      289        3.237        4.963            0      457.598      551.512       52.110
      290        3.147        5.214            0      481.131      596.087       54.640
      291        3.367        5.050            0      464.893      571.259       54.516
      292        3.356        5.072            0      467.074      556.112       54.327
      293        3.295        4.979            0      458.740      531.772       53.675
      294        3.289        5.078            0      462.771      492.771       54.248
      295        3.412        5.057            0      460.646      486.082       57.211
      296        3.447        4.944            0      459.197      473.073       55.417
      297        3.313        5.025            0      467.917      459.681       50.874
      298        3.398        4.981            0      463.179      418.204       53.174
      299        3.301        5.087            0      462.702      434.340       55.535
      300        3.395        4.963            0      466.349      428.131       54.743
      301        3.390        4.992            0      468.366      412.304       54.129
      302        3.209        5.002            0      468.243      392.383       54.705
      303        3.333        5.054            0      464.891      429.279       54.755
      304        3.319        5.100            0      464.313      390.844       56.335
      305        3.379        5.007            0      461.232      432.580       54.751
      306        3.306        4.980            0      476.552      419.768       50.749
      307        3.322        5.034            0      472.402      424.010       51.840
      308        3.305        5.099            0      460.685      428.148       53.017
      309        3.327        5.162            0      470.559      400.772       55.253
      310        3.180        5.107            0      472.474      438.046       50.263
      311        3.439        4.950            0      461.743      399.116       56.793
      312        3.365        4.916            0      464.084      391.726       55.064
      313        3.422        4.981            0      462.853      418.826       55.487
      314        3.478        4.859            0      464.564      393.237       53.231
      315        3.385        5.002            0      465.607      374.350       53.392
      316        3.377        5.036            0      466.619      382.449       57.473
      317        3.383        4.952            0      464.828      361.186       53.647
      318        3.503        4.738            0      453.219      415.901       56.720
      319        3.358        4.948            0      465.797      791.983       60.032
      320        3.238        5.134            0      465.765      391.953       54.332
      321        3.190        4.989            0      461.705      443.284       52.162
      322        3.386        5.041            0      464.374      409.495       56.623
      323        3.316        5.116            0      470.981      383.156       57.991
      324        3.290        5.108            0      466.922      402.080       54.753
      325        3.385        4.971            0      465.325      422.552       53.844
      326        3.327        5.039            0      468.264      422.200       51.642
      327        3.371        5.003            0      460.665      463.515       55.570
      328        3.216        5.162            0      467.813      412.517       56.418
      329        3.263        5.058            0      465.702      408.904       54.608
      330        3.367        5.003            0      464.991      391.860       55.226
      331        3.210        5.132            0      463.413      362.119       55.975
      332        3.375        5.036            0      472.133      393.837       55.244
      333        3.379        4.938            0      460.732      404.437       53.838
      334        3.285        5.088            0      470.401      412.733       53.823
      335        3.395        5.028            0      459.848      399.458       52.228
      336        3.332        5.215            0      470.611      451.327       56.130
      337        3.176        5.173            0      474.089      409.782       51.910
      338        3.259        5.019            0      478.565      418.119       54.647
      339        3.244        5.050            0      476.989      413.540       49.919
      340        3.240        5.209            0      476.998      440.627       55.346
      341        3.357        5.003            0      470.111      435.564       55.102
      342        3.353        5.075            0      466.155      404.935       53.895
      343        3.144        5.154            0      474.355      415.562       54.815
      344        3.198        5.142            0      469.688      417.791       49.117
      345        3.044        5.218            0      465.611      423.695       54.624
      346        3.269        5.076            0      460.970      418.444       53.290
      347        3.388        4.998            0      463.675      468.794       58.497
      348        3.396        4.969            0      467.609      473.242       53.138
      349        3.414        4.985            0      464.231      482.158       53.783
      350        3.361        5.053            0      465.044      481.567       55.011
      351        3.257        5.042            0      462.422      782.662       55.841
      352        3.272        5.150            0      469.466      577.078       51.550
      353        3.023        5.412            0      493.977      547.461       54.908
      354        3.378        4.997            0      462.894      509.047       57.908
      355        3.278        4.973            0      466.062      522.994       50.924
      356        3.189        5.161            0      459.090      503.901       57.378
      357        2.829        5.249            0      473.446      527.751       54.391
      358        3.137        5.153            0      458.540      488.901       53.822
      359        2.987        5.195            0      459.795      783.499       54.401
      360        2.880        5.253            0      471.286      800.304       52.974
      361        2.957        5.221            0      458.803      781.538       54.078
      362        3.188        5.153            0      461.008      781.758       54.973
      363        3.027        5.146            0      463.635      785.278       55.598
      364        3.183        5.180            0      463.566      485.656       51.557
      365        2.954        5.200            0      470.217      514.836       53.070
      366        3.077        5.168            0      463.222      490.582       54.299
      367        3.158        5.175            0      454.928      451.608       59.580
      368        3.025        5.180            0      465.293      441.009       55.337
      369        2.882        5.238            0      465.025      423.369       55.335
      370        2.993        5.151            0      468.044      440.587       57.410
      371        3.001        5.203            0      461.751      444.206       54.923
      372        2.976        5.187            0      461.940      449.826       58.158
      373        2.710        5.485            0      488.640      438.014       57.292
      374        2.887        5.397            0      478.550      473.238       52.728
      375        2.777        5.379            0      479.689      436.751       55.626
