## Torsion are defined with the following atomIDs:
# dihed1: ai= 2428 aj= 2429 ak= 2430 al= 2431
# dihed2: ai= 2431 aj= 2432 ak= 2433 al= 2434
# dihed3: ai= 2435 aj= 2438 ak= 2439 al= 2440
# dihed4: ai= 2443 aj= 2444 ak= 2445 al= 2447
# dihed5: ai= 2444 aj= 2445 ak= 2447 al= 2448
# dihed6: ai= 2448 aj= 2447 ak= 2449 al= 2450
# dihed7: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed8: ai= 2459 aj= 2460 ak= 2461 al= 2464
# dihed9: ai= 2453 aj= 2454 ak= 2455 al= 2458
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
67  100.184   67.133  179.169 -142.147   48.699 -158.840  115.161  138.040  -46.606
68   99.005   43.002  170.987 -142.512   65.304 -166.640   85.276   44.181  116.262
69   93.924   55.625  168.434 -165.764   82.507 -168.757   77.600 -120.009   -8.596
70   93.139   42.187 -175.279 -165.005   40.856 -161.104   82.740   80.354  -69.637
71  103.554   65.866  168.466 -130.059   43.185 -159.859   70.134   83.071 -128.916
72  110.210   54.137  171.734 -147.667   40.551 -153.420   64.524  -37.569  148.843
73  110.127   37.274  164.646 -131.513   53.307 -165.546   58.326 -166.092   35.894
74  109.214   54.951  165.849 -128.589   43.052 -163.884   74.699  126.568 -124.887
75  117.818   44.480  177.035 -136.458   39.183 -155.936   77.228 -121.997 -167.632
76  102.801   70.576  176.869 -163.973   77.355 -165.391   86.066    8.216   39.343
77   98.843   46.017 -144.761 -161.876   64.827 -178.631   76.993   33.280   90.293
78  116.100   62.283  175.338 -142.105   45.819 -159.612   64.650 -101.500   -6.567
79  106.910   51.255  179.095 -158.451   57.951 -173.518   52.728   23.756 -178.061
80  116.575   39.507  174.297 -174.065   81.276 -161.389   52.971   -1.554  150.079
81  108.086   62.285  162.483 -125.233   35.189 -136.713   41.305  179.747  -24.294
82  118.908   61.028  172.678 -153.383   44.422 -167.956   88.489 -127.614   11.501
83  104.760   93.454  169.687 -128.019   47.794 -169.750   87.214  -70.555   28.678
84  102.584   47.837 -175.929 -146.145   48.169 -161.634   75.270   36.203  118.411
85  104.104   56.367  166.305 -156.910   55.371 -170.094   89.670  138.099  -52.560
86  106.766   56.695  178.816 -157.132   70.715 -171.987   79.108  111.873  -90.860
87  104.763   63.953 -173.399 -121.618   38.427 -161.186   90.452  132.682 -155.097
88   85.475   62.512 -168.562 -162.287   56.315 -165.410   94.098  -57.597  -71.429
89  114.457   57.952  162.691 -163.093   69.033 -170.154   98.302  154.467 -140.964
90   99.288   66.226  177.403 -144.586   69.063 -164.876   69.817 -148.225   69.211
91   98.239   59.560 -171.823 -125.319   61.587  175.380  112.139 -142.691   57.545
92  104.689   29.217  175.926 -141.505   58.583 -163.214  122.197   -6.805  149.455
93  104.689   64.692 -171.974 -120.604   32.334 -155.790  109.574 -163.480 -167.088
94  103.157   51.662 -174.847 -163.013   62.680 -168.549  108.563  -92.930  -30.108
95   98.888   58.393  161.916 -156.591   77.854 -173.548   86.434   62.309 -132.829
96  106.572   51.874  159.624 -150.130   55.505 -159.919   69.178  -98.744  121.536
97  105.305   61.964 -161.778 -145.767   55.849 -165.665   87.476  -42.114  -84.278
98  104.891   55.530  156.480 -167.995   46.989 -163.704   86.319  174.699  175.227
99   93.110   58.410 -176.005 -150.230   53.390 -158.516   75.391  -92.133   43.081
100  105.648   72.708 -169.011 -151.732   44.171 -168.519  101.957  -46.672  132.341
101  107.390   42.146 -168.698 -156.612   76.908  176.451   76.522 -137.682  173.830
102   96.258   44.891  179.156 -131.607   42.180 -165.837  108.320  175.823 -116.207
103  106.833   47.109 -178.560 -155.160   49.389 -161.540   68.175  131.216  116.559
104   97.467   44.941 -179.924 -151.949   41.500 -169.404   67.337   68.524  122.543
105  103.936   71.205 -160.449 -138.681   57.628 -172.903   78.646  -50.469 -140.540
106  105.463   65.624  168.382 -150.417   51.762 -173.412   89.557  -45.744  101.416
107  105.698   54.381  173.609 -149.563   59.169 -178.795  106.001 -127.562 -129.122
108  101.908   72.683  169.276 -134.246   57.126 -170.374   74.061 -166.013  113.750
109   88.161   72.437 -162.922 -158.300   55.359 -162.384   91.963  175.054 -150.846
110  105.837   42.320  167.360 -118.794   43.581 -166.571   93.757 -128.453 -148.933
111   99.163   65.364 -170.312 -152.255   59.536 -162.721   74.380 -143.499  116.971
112  110.568   69.230 -179.439 -127.643   40.552 -162.577   88.174   91.116   26.058
113  101.720   70.075 -175.403 -147.579   48.758 -152.080   81.883  -93.332   80.295
114   96.945   68.577 -179.017 -131.578   46.564 -159.858   90.769   82.465   36.262
115   97.114   58.393 -164.141 -137.133   41.148 -163.244   86.531 -110.232   50.271
116  104.880   43.658  172.194 -137.593   64.644  178.589   82.400  159.484   -6.646
117   98.666   36.212 -178.457 -137.447   37.411 -150.108  104.309   45.834   47.549
118   97.791   42.518  165.143 -141.712   48.054 -159.938   69.698  104.733  -69.469
119  101.041   55.008 -178.052 -165.075   72.220 -172.896   92.490 -145.636 -138.588
120   94.864   58.979  173.504 -149.693   60.702 -161.132   89.545  -97.326   80.543
121   94.225   66.719 -179.667 -155.496   79.057 -177.206   76.873  115.932  -65.023
122  111.216   47.674 -168.121 -150.077   44.403 -164.354   84.416  -79.340 -143.416
123  104.899  -39.532  174.635 -148.876   48.869 -172.069  105.532   74.092 -161.425
124   94.752  -41.198  150.557 -139.995   57.376 -172.528  123.107 -173.731 -162.971
125  111.342  -58.367  171.006 -119.768   24.090 -152.012   87.621   50.717   33.626
126  107.437   51.288  174.264 -140.270   36.860 -149.167   64.936   91.800  161.304
127   99.049   66.680  169.100 -136.960   52.555 -159.063   65.399 -144.950  123.572
128   99.998   70.074  170.141 -147.223   42.658 -156.559   60.960 -164.216  -97.842
129  112.149   73.804  167.262 -118.913   28.589 -141.019   81.399   77.368   88.447
130   95.660   37.212 -171.506 -172.615   58.874 -147.615   41.348  -98.545   71.510
131   90.848   54.869 -178.016 -119.942   43.236 -154.892   55.827  123.511 -142.152
132   94.418   43.349  170.113 -151.660   57.781 -173.548   73.251 -137.800   -6.947
133  106.166   55.908  168.810 -128.690   36.393 -149.063   63.147 -109.358  -95.752
134   89.607   43.994 -173.852 -144.291   33.130 -150.817   71.087  173.902  136.018
135  105.449   52.382  171.973 -156.089   56.720 -165.907   84.024 -102.397 -136.004
136  105.489   50.209 -177.820 -155.269   55.286 -160.036   57.764  -67.019  -73.979
137  109.072   40.832 -179.726 -125.236   32.778 -140.727   48.082  159.714   -4.863
