## Torsion are defined with the following atomIDs:
# dihed1: ai= 2452 aj= 2449 ak= 2448 al= 2447
# dihed2: ai= 2449 aj= 2448 ak= 2447 al= 2445
# dihed3: ai= 2447 aj= 2448 ak= 2453 al= 2455
# dihed4: ai= 2448 aj= 2447 ak= 2445 al= 2444
# dihed5: ai= 2447 aj= 2445 ak= 2444 al= 2443
# dihed6: ai= 2442 aj= 2439 ak= 2438 al= 2437
# dihed7: ai= 2439 aj= 2438 ak= 2437 al= 2436
# dihed8: ai= 2429 aj= 2428 ak= 2427 al= 2423
# dihed9: ai= 2435 aj= 2430 ak= 2431 al= 2433
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
68  150.190   51.572 -163.935 -165.137 -158.461 -155.029   90.953  -37.272  142.235
69  156.738   61.294 -165.651  175.746 -166.743 -174.890   72.510  -37.382   74.744
70  151.976   66.924 -169.048  170.387  164.172 -171.323   96.687  -67.937  -14.821
71  149.181   65.382 -171.168  175.721 -166.748 -168.605   76.039  -17.765    0.085
72  164.540   67.806 -169.334 -154.458 -173.737 -165.165   95.130  -48.043   16.924
73  152.917   53.917 -157.280  171.758  166.971 -167.104   89.781  -52.940   96.391
74  162.716   90.421 -146.129  177.296 -167.668 -167.743   91.571  -49.737  -80.683
75  163.527   71.146 -159.233  175.843 -176.011 -166.984   87.333  -34.626   35.640
76  179.005   79.394 -146.456  177.490  176.824 -163.982   81.426  -47.236 -147.821
77  154.627   31.188  174.349 -174.765  169.388 -166.604   82.432  -46.712  112.076
78  142.579   59.429 -149.041 -162.478  159.974 -175.995   80.698  -51.301  -41.834
79  162.609   64.271 -143.147 -167.412 -168.545 -139.443   82.913  -40.234  -84.550
80  149.126   61.504 -163.462  174.291  169.440 -164.339   91.345  -62.512 -146.088
81 -174.164   82.850 -149.866  155.395 -175.772 -168.527   84.834  -38.221  -33.903
82  173.117   76.748 -144.306 -160.748  179.848 -160.827   75.195  -55.166   -5.187
83  153.156   84.961 -154.819  162.611  159.652 -170.344   84.764  -49.202  -86.769
84  152.871   68.191 -159.549  157.413 -177.737 -178.782   89.328  -41.033   91.977
85  170.624   76.978 -158.758  179.443 -175.049 -170.288   77.680  -40.869  162.041
86  145.729   77.256 -145.651  168.516 -173.958 -171.766   81.105  -53.459 -168.474
87  158.582   77.490 -156.920  178.418  170.954 -155.715   94.897  -53.713 -102.242
88  170.294   76.639 -166.628 -179.033  170.878 -169.148   76.576  -49.360  -47.139
89  145.860   71.655 -152.097 -171.664 -172.536 -161.630   71.211  -65.955   26.894
90  146.675   58.989 -156.495  176.519 -165.181 -161.008   79.682  -52.167  118.341
91  147.150   76.974 -140.529  162.583  174.256 -146.131   84.748  -34.875  -52.213
92  156.736   81.370 -166.111  167.653  170.666  -87.403  100.614  -44.835  -35.706
93  157.571   87.946 -156.509 -178.828 -179.718  -95.556   97.990  -40.565  -90.507
94  150.605   69.889 -160.142  171.272  173.423  -90.703  106.927  -62.641  -40.515
95  147.836   62.281 -153.763 -177.965 -175.017 -107.464  104.344  -61.355    9.046
96  160.722   65.480 -170.626 -175.691  169.343  -97.338  106.983  -45.013  -41.573
97  163.220   72.856 -159.775 -170.405  177.865 -117.597  100.317  -54.838  -91.037
98  166.223   59.254 -171.480 -177.789 -178.814 -148.425   79.879  -50.097   79.802
99  144.840   68.413 -153.002  163.353 -178.538 -121.023   94.917  -40.395  -37.480
100  158.135   50.823 -156.345 -169.872 -175.666 -155.056   91.292  -46.752   54.808
101  163.594   50.589 -156.397 -174.429 -168.441 -154.361  100.286  -44.893 -147.520
102  169.882   70.920 -147.441  175.326 -172.979 -163.901   91.803  -38.294   36.583
103  158.758   65.035 -159.685 -176.831  176.621 -161.541   91.463  -33.566  -72.293
104  157.485   60.688  171.541 -172.676  174.973 -158.021   96.128  -36.786   65.969
105  136.748   64.970 -168.973 -179.174  167.479 -149.648   92.939  -52.391  -69.422
106  156.807   72.984 -140.249 -170.239 -158.878 -116.710   71.861  -59.673 -108.697
107  159.928   55.818 -161.093 -166.858  171.516 -154.803   84.786  -41.432 -109.585
108  155.740   76.774 -161.786  169.678  175.480 -142.419   81.488  -41.879   71.903
109  148.625   37.071  179.967  179.445 -179.064 -155.709   82.946  -37.797  -14.166
110  159.215   55.899 -173.085  175.929  179.319 -164.517   77.817  -43.193 -165.473
111  179.460   77.468 -146.443  169.053 -172.302 -156.848   80.752  -44.377 -151.386
112  154.927   60.003 -159.724 -161.690  163.301 -150.447   80.091  -48.693  -85.165
113  138.435   51.560 -156.346 -171.733  153.293 -161.449   83.941  -43.279 -133.325
114  148.855   56.996 -158.554 -168.115  164.194 -158.425   73.609  -54.563 -102.105
115  174.955   70.919 -154.831 -177.251 -165.674 -130.380   87.780  -44.209 -156.115
116  163.280   83.765 -150.560  178.038  165.513 -137.644   62.456  -61.006 -119.497
117  150.711   63.492 -164.126  162.145  178.840 -142.322   90.897  -37.779 -133.258
118  151.060   74.486 -179.719  157.590 -173.037 -134.974   54.138  -56.898   93.759
119  161.626   70.844 -155.539 -178.004  167.539 -159.841   61.647  -53.047 -145.011
120  172.320   70.497 -167.840 -147.396  175.473 -163.870   87.996  -58.790 -161.975
121  175.042   69.992 -168.646  178.648  178.275 -173.188   85.378  -53.700  151.071
122  170.509   73.800 -175.839  162.547  172.603 -164.697   84.032  -50.001  107.547
123  163.112   64.792 -162.471  173.542  178.709 -161.843   89.464  -56.127 -162.999
124  156.038   82.900 -164.037  154.190 -176.765 -163.121   78.891  -38.599  168.024
125  169.086   83.230 -159.002 -176.521  174.177 -154.148   77.696  -35.569   33.784
126  150.584   72.909 -159.853  165.154 -177.142 -163.861   79.401  -43.839 -126.959
127  169.079   68.772 -158.606 -158.814 -175.350 -118.889   77.129  -31.149  160.048
128  157.894   65.843 -144.652 -169.949  175.137 -141.470   69.356  -54.744 -160.648
129  169.374   63.574 -165.048 -164.582 -173.719 -158.535   85.281  -31.465 -158.091
130  171.412   65.554 -144.713 -166.186 -176.637 -163.958   85.514  -40.918  -15.297
131  176.104   84.562 -142.603  171.277 -169.292  -96.117  105.125  -50.523   56.220
132  148.622   56.779 -172.573  175.607  170.948  -98.790   97.344  -59.714  175.789
133  153.567   60.894 -175.699  178.648 -177.170 -144.179   88.730  -25.988   74.025
134  162.305   64.903 -144.991 -161.132  174.880 -135.421   73.260  -52.634   45.936
135  153.372   58.208 -168.046  172.782 -177.688 -113.567   96.933  -36.191   59.417
136  172.525   56.730 -164.304 -178.987 -172.635 -102.354   98.811  -47.975   13.561
137  155.552   60.334 -144.386 -172.387 -173.819 -106.979   97.218  -39.114  140.616
138  168.337   56.576 -157.717 -163.273 -166.743  -97.614   90.767  -65.127   29.002
139  157.486   55.578 -151.297  163.648 -162.904 -104.635   84.073  -64.127   53.084
140   43.510   74.793 -151.154 -146.231  161.923 -157.527   98.041  -44.548  -29.315
141   40.950   69.362 -150.547  178.322 -169.624 -164.155  105.635  -41.940 -103.933
142   41.325   59.796 -158.150  179.546  177.627 -111.855  103.606  -60.627   92.164
143   68.384   71.898 -143.199  177.818 -166.792 -129.793   87.254  -55.510  -63.944
144   55.731   75.771 -144.173  179.267  174.132  -91.742   95.606  -45.945   99.336
145   36.736   76.244 -170.513  175.587 -177.702 -103.163  102.024  -72.163   88.843
146   53.861   78.978 -152.862  164.054 -174.933 -100.852  100.246  -36.788 -100.989
147   43.349   67.425 -141.301  178.295 -160.958 -176.168   78.543  -65.885 -110.214
148   39.811   55.828 -174.957 -172.795  173.708 -148.015   80.470  -68.548   53.462
149   57.754   82.462 -157.866  170.417  162.486 -128.802   81.855  -46.887  167.223
150   36.020   60.353 -165.028 -155.244 -178.321 -112.235   93.407  -57.337  153.265
151   29.170   69.240 -148.320  178.262  167.159  -99.398   98.097  -62.578  178.749
152   54.758   61.988 -162.427 -166.706  167.359 -102.123   96.946  -48.982  109.115
153   29.770   44.133 -164.387  167.661 -174.413 -104.811  121.493  -55.797   73.102
154   40.386   67.752 -151.581  167.258 -176.602 -112.247  107.705  -45.820   11.332
155   48.903   83.744 -158.441  170.464  171.880  -63.382  101.421  -37.922 -155.694
156   67.145   67.718 -156.344 -155.360  173.138  -90.704   98.838  -44.059  163.560
157   54.555   69.294 -154.325 -153.822  163.355  -69.220   83.174  -27.155   -0.909
158   44.243   68.701 -152.990 -170.836  175.052  -65.058  123.660  -41.294 -163.190
159   38.321   68.266 -160.544  175.607  163.566  -51.629   99.546  -37.674 -138.826
160   44.645   60.654 -159.662 -164.065 -179.208  -59.443   98.905  -38.946  -23.279
161   39.977   57.510  172.607 -171.579 -176.792  -82.821  102.313  -86.899   36.424
162   38.322   57.295  171.687  178.811  171.902  -94.253   94.136  -55.010   45.407
163   36.228   58.356 -154.872  169.142  178.464  -74.078  102.820  -61.329  -77.856
164   28.140   54.072 -159.580 -160.054 -166.498  -80.196   94.058  -74.919 -119.543
165   44.114   71.808 -162.265  169.247 -171.186 -112.015  106.556  -50.385   77.797
166   34.964   58.004  179.217 -165.189 -160.623  -74.934  128.875  -56.080  -17.340
167   28.244   56.732 -164.403  174.989 -171.209  -81.047  128.701  -25.988  -77.501
168   40.553   63.941 -145.111 -159.304  149.999  -88.891  148.991  -64.162   55.456
169   52.559   66.446 -166.732  176.694 -172.600 -106.023   84.755  -50.677  155.270
170   32.946   67.736 -167.118  179.210 -177.419 -110.189   94.803  -71.150   11.912
171   39.647   67.656 -138.045  177.813 -169.724 -103.044  101.268  -51.946 -100.488
172   42.107   50.243 -164.884 -169.295 -178.892 -145.074   88.284  -31.919  169.050
173   53.889   86.071 -151.243 -176.701 -167.019 -162.471   89.494  -60.519  167.655
174   53.379   76.583 -159.557 -169.100 -174.973 -163.846   86.810  -37.447  -83.026
175   44.501   75.309 -165.580  171.484 -171.323 -169.182   81.838  -51.440 -116.704
176   41.599   75.587 -139.245 -179.330 -179.592 -171.136   84.686  -61.692  178.482
177   48.632   83.159 -152.546 -167.718  166.513 -158.427   87.698  -54.010   38.396
178   56.532   70.622 -146.384 -175.145 -149.074 -169.326   88.375  -52.249  -13.530
179   57.913   70.460 -155.944 -168.746  175.801 -170.820   82.774  -51.773 -176.776
180   35.646   63.639 -171.095 -179.033  178.668 -160.423   82.342  -57.135 -170.708
181   43.304   62.511 -161.988 -149.918 -171.552 -162.653   66.786  -53.223   17.253
182   28.546   66.990 -150.763  148.479 -162.540 -171.478   80.693  -49.583  106.360
183   36.111   75.320 -153.746  173.300  178.736 -160.136   81.078  -53.736  160.197
184   37.706   60.769 -165.573 -171.592  173.224 -178.808   90.306  -23.500  -86.672
185   55.109   84.321 -168.129  164.299 -168.132 -123.274   70.836  -64.163   50.845
186   33.967   72.682 -172.060  151.131  169.331 -159.617   87.274  -58.037 -136.476
187   32.687   74.579 -147.942 -165.064 -165.530 -153.736   81.530  -44.961  154.139
188   56.224   74.344 -148.523 -173.438 -162.688 -158.573   99.447  -38.382 -106.908
189   59.820   71.077 -152.898 -171.439 -171.617 -165.977   79.558  -41.287  177.903
190   64.245   81.090 -151.755  166.719  178.405 -146.864   84.590  -46.534  -13.384
191   30.157   62.254 -155.730  173.106  171.112 -165.299   95.764  -65.317  -61.484
192   38.855   52.489 -161.457 -166.531  163.436 -166.663   79.390  -45.788  -86.990
193   53.077   80.329 -152.745  171.860  157.931 -174.635   79.847  -67.312  -80.534
194   50.454   57.258 -155.567 -157.651  178.449 -168.636   90.043  -52.197   17.674
195   43.893   79.537 -150.976  157.218 -179.769 -156.180   84.747  -60.567  162.062
196   33.295   75.618 -148.920  174.279 -167.314 -145.533   83.963  -49.256   16.064
197   55.307   58.524 -161.893 -168.674  179.559 -151.590   74.072  -39.896  175.594
198   37.154   62.903 -157.509 -143.196 -161.475 -163.488   84.260  -61.098 -162.179
199   28.782   58.665 -149.750 -174.957  173.741 -176.463   84.925  -59.918    2.092
200   45.401   70.732 -161.759  179.178 -169.767 -168.228   66.590  -47.429   94.748
