  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.667        5.257            0      395.918      415.044       22.903
      127        1.308        5.305            0      398.101      389.613       23.361
      128        1.476        5.320            0      399.512      416.798       22.957
      129        1.235        5.246            0      393.201      388.033       22.510
      130        1.732        5.041            0      388.244      393.508       22.924
      131        1.472        5.220            0      388.741      394.071       21.640
      132        1.440        5.269            0      391.247      430.933       21.727
      133        1.734        5.137            0      390.790      430.043       20.547
      134        1.672        5.338            0      396.086      421.367       23.731
      135        1.906        5.441            0      394.523      456.330       21.307
      136        1.914        5.285            0      389.653      453.416       20.387
      137        1.918        5.346            0      392.109      423.103       24.578
      138        1.736        5.250            0      389.514      477.487       19.969
      139        1.837        5.296            0      394.899      438.474       22.147
      140        1.743        5.197            0      387.385      495.917       28.354
      141        2.036        5.301            0      395.506      474.396       22.721
      142        1.825        5.400            0      392.772      432.280       19.792
      143        1.425        5.343            0      395.299      436.742       20.386
      144        1.768        5.441            0      395.708      446.494       21.753
      145        2.021        5.361            0      390.756      456.497       21.126
      146        2.047        5.157            0      385.046      455.202       22.183
      147        2.006        4.752            0      380.024      420.057       25.761
      148        1.652        5.223            0      396.801      453.515       23.779
      149        1.849        5.383            0      396.076      417.266       22.885
      150        1.491        5.291            0      387.523      453.638       21.343
      151        1.632        5.397            0      392.239      465.922       21.336
      152        1.455        5.365            0      393.897      449.583       21.108
      153        2.073        5.354            0      388.062      426.946       21.440
      154        1.489        5.335            0      394.095      421.900       21.075
      155        1.543        5.404            0      393.618      455.821       18.346
      156        1.399        5.244            0      387.532      423.381       25.102
      157        1.433        5.393            0      394.338      451.205       27.089
      158        1.735        5.265            0      383.896      433.070       20.872
      159        1.511        5.456            0      399.306      464.838       19.895
      160        1.443        5.396            0      397.782      517.570       20.491
      161        1.712        5.243            0      388.718      418.654       19.649
      162        1.950        5.409            0      391.383      384.216       21.198
      163        1.980        5.477            0      393.948      476.193       22.843
      164        2.042        5.472            0      393.690      459.603       23.689
      165        2.142        5.342            0      389.656      466.595       21.280
      166        1.955        5.145            0      382.996      448.832       19.349
      167        1.959        5.212            0      382.789      440.071       21.601
      168        1.746        5.311            0      386.996      581.603       23.733
      169        1.849        5.349            0      391.820      489.249       21.986
      170        2.034        5.420            0      392.439      458.590       20.734
      171        2.042        5.296            0      392.476      458.540       22.440
      172        1.607        5.094            0      392.937      542.048       20.824
      173        1.939        5.008            0      387.501      505.775       22.483
      174        1.575        5.148            0      391.427      533.584       21.426
      175        1.890        4.897            0      386.433      502.554       20.736
      176        1.630        5.236            0      396.944      552.117       23.668
      177        1.558        5.215            0      390.562      544.242       25.462
      178        1.899        4.913            0      386.366      459.744       22.864
      179        1.647        5.148            0      396.974      512.811       21.553
      180        1.797        5.209            0      394.475      486.020       22.381
      181        1.636        4.838            0      394.304      467.638       20.164
      182        1.779        4.875            0      382.946      449.369       27.310
      183        1.744        5.237            0      395.521      463.745       20.782
      184        1.492        5.094            0      391.322      461.824       23.435
      185        1.903        5.274            0      393.346      450.320       18.335
      186        1.639        4.921            0      382.925      430.932       27.662
      187        1.903        5.103            0      390.146      418.543       26.021
      188        1.966        4.942            0      390.514      402.971       21.873
      189        1.663        5.193            0      394.525      450.992       23.944
      190        1.912        5.278            0      392.804      458.370       22.050
      191        1.555        5.131            0      394.732      463.403       23.614
      192        1.395        5.165            0      391.784      474.827       21.251
      193        1.394        5.192            0      395.793      474.688       21.335
      194        1.876        5.112            0      393.777      486.933       24.424
      195        1.876        4.976            0      389.809      477.031       26.081
      196        1.885        5.169            0      390.551      457.107       22.639
      197        1.991        5.065            0      392.342      475.297       21.320
      198        1.793        4.977            0      389.469      473.364       25.999
      199        1.652        4.947            0      389.260      459.887       23.682
      200        1.740        4.847            0      388.741      453.981       23.809
      201        1.692        4.857            0      392.810      496.224       23.366
      202        1.898        4.902            0      386.046      452.799       24.075
      203        1.914        5.200            0      394.484      541.619       22.719
      204        1.523        5.134            0      391.524      575.254       19.246
      205        1.539        5.211            0      395.825      554.293       24.200
      206        1.624        5.213            0      395.245      517.388       23.041
      207        1.966        5.305            0      392.833      515.121       24.279
      208        1.684        5.167            0      393.210      504.296       20.086
      209        1.541        5.206            0      393.363      530.688       23.380
      210        1.535        5.287            0      391.906      501.535       23.155
      211        1.611        5.241            0      394.308      552.135       27.295
      212        1.680        4.877            0      390.154      466.049       22.258
      213        1.424        5.241            0      390.888      543.262       21.979
      214        1.500        5.095            0      389.183      538.382       21.962
      215        1.241        5.097            0      389.152      493.633       18.960
      216        1.166        4.938            0      390.017      496.936       22.272
      217        1.683        5.112            0      374.371      497.391       21.565
      218        1.654        5.190            0      382.037      549.533       20.273
      219        1.570        5.141            0      383.322      543.292       22.994
      220        1.035        4.994            0      388.327      590.174       20.866
      221        2.081        5.335            0      390.451      543.047       24.130
      222        1.871        5.383            0      395.226      457.020       20.225
      223        1.808        5.359            0      396.403      513.482       21.212
      224        1.350        5.060            0      384.863      494.757       18.956
      225        1.625        5.161            0      389.218      501.494       20.141
      226        1.718        5.502            0      396.621      516.714       21.964
      227        2.066        5.273            0      392.504      511.990       22.143
      228        1.470        5.444            0      396.490      481.135       22.019
      229        1.616        5.387            0      396.691      466.706       20.079
      230        1.538        5.413            0      394.483      502.827       23.178
      231        1.934        5.226            0      384.268      441.164       21.292
      232        1.194        5.118            0      391.590      483.523       24.215
      233        2.062        5.438            0      393.888      527.693       25.102
      234        1.889        5.356            0      389.818      494.549       20.911
      235        1.525        5.344            0      391.327      501.796       24.336
      236        2.020        5.390            0      393.295      534.667       22.209
      237        1.477        5.368            0      395.178      524.219       23.774
      238        1.550        5.411            0      395.907      478.110       22.646
      239        1.905        5.417            0      397.648      488.059       19.266
      240        1.834        5.468            0      395.774      476.741       23.629
      241        2.004        5.435            0      396.091      461.749       23.532
      242        1.745        5.357            0      398.766      473.950       21.205
      243        1.841        5.021            0      391.251      465.770       24.576
      244        1.871        4.935            0      386.904      437.331       20.875
      245        1.681        5.268            0      391.961      455.835       22.060
      246        2.173        5.324            0      392.926      441.620       25.647
      247        2.022        5.298            0      388.914      453.963       21.756
      248        1.743        5.393            0      395.731      463.777       20.472
      249        2.136        4.896            0      386.145      423.444       22.459
      250        1.806        5.352            0      393.536      442.400       23.445
      251        1.854        5.478            0      403.073      466.057       19.991
      252        1.719        5.123            0      389.608      471.266       21.051
      253        1.768        5.276            0      392.784      446.257       25.115
      254        0.593        4.927            0      387.681      430.070       25.112
      255        0.618        4.832            0      388.512      420.489       25.408
      256        0.729        4.898            0      391.292      406.059       23.547
      257        0.763        4.709            0      384.648      439.201       27.032
      258        1.081        5.176            0      392.136      432.766       23.520
      259        0.794        5.074            0      388.430      442.343       24.439
      260        0.516        4.891            0      389.246      432.821       22.857
      261        0.812        5.061            0      390.092      453.748       24.526
      262        0.581        4.946            0      388.218      463.182       21.052
      263        1.142        4.912            0      393.711      477.156       26.613
      264        0.734        4.871            0      389.611      493.324       22.068
      265        0.822        4.700            0      390.413      435.044       25.088
      266        0.637        4.666            0      386.304      457.919       21.225
      267        1.014        4.461            0      387.548      450.940       23.622
      268        0.742        4.821            0      389.491      494.540       22.155
      269        0.809        4.718            0      390.959      464.632       23.589
      270        0.860        4.536            0      385.203      431.573       24.858
      271        0.529        4.719            0      390.340      447.937       23.263
      272        0.430        4.924            0      392.331      449.746       23.571
      273        1.236        4.602            0      385.325      469.652       27.061
      274        1.060        4.940            0      395.605      465.678       24.221
      275        0.818        4.729            0      388.837      463.881       25.684
      276        1.325        4.582            0      391.640      456.879       24.902
      277        0.867        4.807            0      390.675      469.710       26.361
      278        1.165        4.619            0      388.126      465.130       23.080
      279        1.010        5.056            0      391.486      480.707       25.433
      280        0.854        4.475            0      384.603      439.416       21.435
      281        0.572        4.682            0      386.199      452.115       21.362
      282        0.957        4.750            0      391.109      442.409       22.917
      283        1.158        4.943            0      394.259      511.402       22.109
      284        0.876        5.041            0      391.457      465.695       21.922
      285        0.878        4.577            0      390.881      485.907       23.001
      286        0.883        4.549            0      390.492      479.461       25.449
      287        0.606        4.927            0      391.235      455.265       25.603
      288        1.234        4.930            0      391.128      483.942       26.268
      289        1.023        5.220            0      385.911      481.931       25.449
      290        1.089        5.305            0      391.304      499.765       25.022
      291        0.845        5.068            0      387.786      454.018       21.531
      292        0.933        4.973            0      389.934      486.186       22.988
      293        0.503        4.732            0      389.317      468.625       24.861
      294        0.572        4.948            0      389.824      469.191       24.681
      295        0.497        4.841            0      388.544      449.753       25.018
      296        0.797        5.091            0      387.055      458.003       25.829
      297        1.354        5.267            0      393.189      436.908       24.763
      298        0.948        5.153            0      388.597      452.218       22.997
      299        1.244        5.357            0      391.837      452.769       23.985
      300        1.287        5.382            0      393.511      439.691       25.621
      301        1.175        5.134            0      387.509      431.060       25.075
      302        1.588        4.532            0      382.909      411.417       27.248
      303        0.539        4.809            0      387.000      443.029       23.989
      304        0.724        4.715            0      388.541      428.549       22.881
      305        0.970        4.761            0      388.267      403.905       23.979
      306        1.292        4.504            0      387.193      452.367       23.409
      307        1.592        4.595            0      384.740      427.933       24.686
      308        1.184        5.009            0      390.945      476.969       22.903
      309        1.097        4.953            0      388.043      469.845       23.864
      310        1.092        5.255            0      388.864      397.521       22.358
      311        0.830        5.045            0      393.104      422.137       25.238
      312        0.902        4.849            0      386.961      428.320       21.854
      313        0.872        5.107            0      385.920      412.885       19.961
      314        1.115        5.210            0      387.887      417.633       22.365
      315        0.928        5.124            0      392.649      453.383       25.864
      316        1.005        5.247            0      391.690      443.365       21.941
      317        1.208        5.295            0      389.358      457.003       23.465
      318        0.721        5.218            0      392.651      449.231       24.684
      319        0.959        5.189            0      388.081      436.988       21.963
      320        1.006        5.239            0      389.695      444.917       22.654
      321        1.359        5.309            0      392.225      444.675       25.915
      322        1.174        5.306            0      391.414      452.054       26.563
      323        0.819        5.152            0      391.889      463.248       24.710
      324        0.819        4.637            0      388.124      487.876       21.333
      325        0.537        4.765            0      390.607      475.405       24.082
      326        0.809        4.571            0      386.819      461.082       24.103
      327        1.020        5.137            0      390.601      436.054       24.883
      328        0.943        5.193            0      388.556      463.174       20.802
      329        0.944        5.204            0      388.642      426.334       19.960
      330        0.706        5.177            0      388.989      466.813       21.864
      331        0.788        5.134            0      388.195      465.738       25.987
      332        0.960        5.221            0      390.988      475.488       21.912
      333        1.339        5.395            0      394.739      446.913       24.400
