## Torsion are defined with the following atomIDs:
# dihed1: ai= 2447 aj= 2446 ak= 2444 al= 2443
# dihed2: ai= 2446 aj= 2444 ak= 2443 al= 2442
# dihed3: ai= 2444 aj= 2443 ak= 2442 al= 2448
# dihed4: ai= 2442 aj= 2448 ak= 2449 al= 2450
# dihed5: ai= 2450 aj= 2449 ak= 2451 al= 2452
# dihed6: ai= 2449 aj= 2451 ak= 2452 al= 2453
# dihed7: ai= 2451 aj= 2452 ak= 2453 al= 2455
# dihed8: ai= 2456 aj= 2457 ak= 2458 al= 2459
# dihed9: ai= 2457 aj= 2458 ak= 2459 al= 2460
# dihed10: ai= 2458 aj= 2459 ak= 2460 al= 2462
# dihed11: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed12: ai= 2440 aj= 2439 ak= 2438 al= 2437
# dihed13: ai= 2434 aj= 2433 ak= 2432 al= 2431
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13
44  134.577 -162.035 -171.170   63.108 -145.802 -179.722   69.056   -7.140  103.519 -114.904  122.341 -178.592 -131.901
45  156.101 -147.357  171.558  118.043 -165.220  169.616   38.276    4.889   80.966 -120.323  123.757  176.570 -150.906
46  140.993 -172.028 -176.798   83.054 -169.399  165.212   59.585    6.746   65.732   13.905  116.818 -161.398 -157.494
47  154.613 -157.023  173.274   69.912 -169.888  164.177   88.285   13.320   69.996   10.759  114.124 -167.411 -154.342
48  143.741 -178.790 -149.095   76.454 -178.382 -178.456   74.665  -21.710   85.558   -1.133  131.443  177.996 -141.346
49  144.420 -167.364 -164.244   84.135 -163.864  162.753   59.471  -15.442   99.824  -47.869  111.442 -165.939 -149.927
50  144.296 -172.056 -174.400   70.207 -159.306  177.619   47.144   15.895   70.094    7.094  132.591 -175.750 -138.492
51  136.717 -177.394 -179.965   85.957 -156.650  160.584   52.116   -6.918   75.949  -19.399  119.393  171.832 -153.519
52  165.717 -168.619  174.976  103.935  166.734  177.535   61.070  -38.768   90.217  -97.991  141.588  169.586 -144.823
53  158.017 -167.297 -179.714   85.656 -176.887  161.197   48.793   -6.287   75.003  128.514  135.349  178.515 -148.231
54 -145.894  169.638 -157.202   90.059 -157.965  171.055   44.237    7.703   80.117  125.927  143.114  169.163 -143.223
55  167.681  174.257 -125.807   74.906 -160.684  179.094   75.279  -22.147   84.694  154.838  109.058  179.800 -147.290
56  130.765  176.420 -158.538   70.403 -158.288  166.240   70.812  -16.676   79.704  122.681  131.362  176.677 -124.312
57  113.882  169.860 -155.336   75.091 -173.540 -174.832   68.689    2.326   70.155 -111.995  132.587 -175.557 -140.720
58  178.141 -175.255 -167.753   84.087 -172.223  171.749   73.431   37.593   67.094   67.939  137.628  170.123 -150.194
59 -120.860 -167.670 -159.759   98.510 -130.711  177.877   87.982  -18.073   99.834  121.499  132.949  168.937 -162.488
60  127.168  162.836  171.213   87.752 -171.128  178.623   96.687    1.792   74.117 -109.706  111.013 -178.558 -135.858
61 -130.407  176.255 -140.105   61.522 -155.287  159.972   58.270   -7.698   87.050 -146.606  125.439 -177.235 -154.390
62 -133.223 -169.413 -167.041   68.671 -158.620 -172.264  170.314    3.980   78.976   75.613  135.904  166.657 -130.179
63  105.894  162.870  176.543   97.920 -174.399  154.335  150.635  -16.755   95.096   61.484  155.789  138.905 -164.121
64 -114.268 -175.777  148.423   92.498 -177.841 -172.921  148.859    0.845   94.623  -90.674  133.129  162.911 -173.161
65  134.460 -177.605  148.769   80.385 -160.194 -174.780  166.357   19.650   57.859  137.162  140.004  166.446 -149.534
66  178.429 -175.729 -166.163  101.086 -166.372  179.213  171.428   34.554   53.120  -90.180  133.647  168.578 -147.997
67  100.687 -174.580 -156.068   72.369 -159.491 -178.964 -170.171    3.268   86.784  160.504  142.549  177.610 -154.273
68  135.136 -175.082  161.051  105.186  -63.014  178.978  148.491   22.267   80.130   33.304  143.521  156.910 -158.487
69 -166.448  166.887  165.725  113.544 -141.831  176.588  160.051   15.412   72.087  -90.291  141.338  149.746 -148.279
70 -159.127  175.141 -159.460   72.563 -162.189 -171.015  167.246   -6.364   69.249   13.996  123.135  173.643 -151.409
71  120.046 -176.977  164.300   66.284 -160.765 -169.147  157.586   24.704   65.725   27.735  125.817  174.077 -151.748
72  -73.426  155.132 -127.479   89.742 -177.079  174.583  168.784   -0.880  -87.386   92.294  123.381  153.305 -133.115
73  165.501 -165.949 -155.072   88.240 -154.781  169.338  166.504  -42.117  -62.028  177.331  114.759  159.059 -155.539
74 -115.092  174.538 -121.720   68.680  136.047 -171.083  176.223  -19.824  -83.932   91.245  145.289  139.847 -155.160
75 -174.018 -177.716  175.043  121.077   78.571 -168.279  167.210  -14.064  -71.827  -10.833  114.130  154.798 -148.192
76  155.243  176.950 -145.930   68.970   56.021  175.364  155.693  -35.702  -64.055  -69.204  148.903  138.495 -151.023
77  172.206  162.465 -121.450   53.218   73.584  179.822   60.930   18.334 -119.142 -175.197  119.137  154.782 -155.095
78  160.662  172.377 -112.946  105.358   74.413 -172.558   76.593  -41.063  -68.384  -73.081  122.986  151.371 -147.483
79  165.856  175.607 -126.662   90.776   55.333 -176.032   58.596   -9.242 -166.897   73.657  140.390  146.713 -147.497
80 -156.159  176.775 -147.223   50.173   73.177  172.946   72.954    9.517  155.502  -35.224  134.461  153.552 -139.048
81 -129.088  173.538 -125.146   58.995   72.607  161.767   54.215   -1.069  178.516   24.481  132.540  174.692 -142.132
82 -120.345  168.915 -135.170  110.229   75.315 -158.865   72.846  -13.691 -167.432 -152.824  142.027  163.257 -140.065
83 -163.470  172.504 -127.908   97.296   91.095  162.698   62.354    0.782  174.470 -177.124  135.291  154.956 -136.666
84  120.055  172.898 -171.195  132.418   97.470  171.352   76.558   -6.669  177.018   71.751  135.890  153.628 -129.259
85  136.122  175.338  134.797  150.251   80.048  178.361  155.630  -14.988  177.969 -173.650  137.362  162.274 -151.725
86  -54.939  152.265  170.275  155.532   73.985 -162.298  150.078   18.432  173.711  -76.911  118.538 -167.590 -158.439
87  127.472 -174.720  179.051  129.442   62.443 -176.146  163.809   -2.246  146.077   22.006  145.834  148.608 -154.223
88  150.221  171.051  133.197  129.663   57.494  178.764  153.523    1.437 -171.953   51.773  139.819  168.925 -154.983
89  176.608  172.052  145.005  129.654   78.272 -173.738   98.889    1.775  -79.415   17.596  152.917  138.408 -146.890
90 -164.480  176.051  156.302  119.302  -76.595  169.650  175.321   33.168  -85.130 -117.573  157.496  158.530 -143.605
91  -97.604 -172.591  156.122  131.945  -79.933 -162.777  175.252   19.188  -71.554   -4.641  150.542  151.205 -144.219
92 -109.164  176.328  155.069  118.586 -160.880  162.653  156.664   13.563  -81.496   10.053  130.298  161.785 -149.539
93 -132.965  179.979 -148.609   92.977 -174.074 -168.917  160.027    8.935 -100.550  -73.166  139.490  151.973 -144.030
94 -120.765  177.150 -170.807   97.285 -171.630 -178.463  141.114    7.991  -84.643   14.714  134.651  143.723 -150.636
95 -142.370  176.062 -161.676   86.694 -160.490 -179.211  173.617   -7.204  -82.046   40.323  140.418 -174.993  145.025
96 -121.683 -171.574 -153.632   85.329 -171.149  178.063   84.655    7.139  -94.147  175.718  128.590 -163.253  157.734
97  128.418 -179.422 -125.268   77.151 -175.709  177.938  146.456  -11.035  -76.238  139.454  124.881  170.875  154.162
98  151.990 -172.240 -155.703   53.366 -150.242 -170.556  162.683    5.116  -85.577 -154.687  131.297 -174.914  118.589
99 -173.604 -169.763 -127.797   69.719 -162.085 -168.596  163.911  -24.480  -63.571  -10.504  127.126  172.839  129.548
100 -160.637  170.860 -128.189   67.795 -153.388 -174.564  149.736    0.829  -82.148 -168.193  145.061  151.925  128.514
101 -142.891 -175.976 -153.673   73.765 -168.660  177.107  179.375   42.521 -103.778 -179.708  121.793  155.204  111.475
102 -162.414  168.930 -158.408   63.744 -157.438 -177.273  158.257  -22.820  -72.651  135.415  124.602  164.319  130.719
103 -149.873  178.936 -147.640   93.966 -162.752 -169.006  136.900   -3.389  -73.164  116.362  110.746  175.755  131.009
104  161.843  150.800 -137.346   66.899 -146.034  177.933  148.196  -19.906  -72.923  -60.032  127.939  171.273  134.079
105 -165.388  166.996  152.542   83.178 -168.606 -178.873  138.941    8.872   77.084   15.080  137.802  169.808   75.624
106  176.982 -165.075  167.704  116.915 -156.928 -166.696  154.706    5.362   66.386   16.239  127.041 -158.668   49.886
107 -151.223  171.410  149.669  115.801  171.389 -175.238  169.739  -15.153  110.754   47.694  135.254  169.945  116.178
108  169.807  164.798 -124.557  111.389  173.150  170.954  164.674  -12.899 -177.964  149.939  112.151  173.651  123.893
109 -170.157  173.744 -152.234   71.196 -158.168 -161.148  156.361  -46.775 -167.065   86.315  145.419  155.515  130.995
110  167.156 -160.887  131.227  117.198 -173.314  172.598  165.262   -9.944 -172.381    9.515  136.138  156.197  127.488
111  179.924  160.693 -177.828   87.960 -155.432  173.863   72.457   -7.134  165.486  -73.780  143.873  168.964  127.808
112   67.176 -175.506  175.377  113.575  -80.088  168.437  149.415  -14.140   88.625  149.024  119.209  163.539  130.774
113 -152.732  165.925 -162.348   85.326  -55.664 -168.150  168.343   -1.802   82.838   21.726  133.615  162.515  135.653
114  -98.318 -173.226  149.446  148.713  -66.155 -177.418   94.149   -9.757   76.520   -4.815  156.814  157.712  114.953
115 -134.632  165.333  -91.395  140.363  -81.177 -177.412  149.928   14.300   75.363  -50.920  116.236  170.716  143.156
116 -136.245 -169.002 -171.901  111.473  -70.722 -165.401  162.102   39.083   60.712   57.437  126.964 -176.457   89.686
117  175.542  173.298 -139.606   66.415  -75.530 -161.016   87.703  -24.694   89.645   -7.832  117.507  177.514  108.484
118   94.905  169.170  160.942   94.605 -179.191 -170.908   93.026  -20.998   92.756 -109.596  150.079  157.912  135.990
119 -144.914 -179.025  175.403   71.530 -165.663 -177.841   73.618  -13.616   70.460 -113.180  168.020  144.152  129.869
120  113.954 -166.626 -141.546   68.511 -157.424  161.950   89.926   14.767   64.723   -3.588  151.963  143.331  131.853
121  158.826 -176.204 -176.063   72.240 -157.932  171.961   74.595   21.162   80.170   47.848  130.762  178.763  121.014
122 -163.623  177.839  159.280   89.422 -150.592  171.411   69.764    6.163   88.611   60.561  144.164 -174.873  108.050
