  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        1.489        4.797            0      522.131      553.581       74.297
      127        1.975        4.684            0      505.446      498.441       82.418
      128        1.971        4.803            0      511.038      570.624       76.217
      129        1.989        4.641            0      498.505      529.450       84.383
      130        2.026        4.726            0      493.609      533.186       88.304
      131        2.036        4.893            0      511.843      518.629       81.895
      132        1.918        4.740            0      512.096      509.128       78.841
      133        2.088        4.741            0      506.158      559.853       70.771
      134        2.194        4.622            0      501.291      523.028       81.477
      135        1.865        4.626            0      496.970      545.443       71.927
      136        2.024        4.659            0      503.147      535.485       83.188
      137        2.033        4.525            0      490.276      505.590       80.676
      138        2.018        4.632            0      507.349      562.990       75.158
      139        2.181        4.542            0      498.874      522.809       86.193
      140        2.006        4.558            0      496.479      507.297       80.296
      141        1.891        4.544            0      493.449      497.347       75.225
      142        1.967        4.567            0      490.563      484.957       75.717
      143        2.127        4.527            0      487.454      478.558       84.504
      144        2.097        4.595            0      490.809      489.758       77.514
      145        1.943        4.635            0      500.190      488.795       72.679
      146        2.122        4.444            0      485.083      501.863       76.139
      147        1.999        4.616            0      500.820      504.397       75.374
      148        1.973        4.528            0      486.920      499.860       79.423
      149        2.051        4.446            0      484.203      525.316       87.885
      150        2.129        4.541            0      487.314      510.773       73.858
      151        1.907        4.601            0      497.429      529.110       76.793
      152        1.880        4.540            0      489.318      519.387       73.550
      153        1.990        4.602            0      493.289      527.902       74.361
      154        2.022        4.598            0      495.650      516.564       72.817
      155        1.884        4.611            0      500.973      490.985       64.568
      156        1.970        4.561            0      494.838      464.304       75.621
      157        1.905        4.646            0      493.425      537.881       76.252
      158        1.886        4.699            0      501.822      486.265       76.773
      159        1.963        4.712            0      499.257      475.867       75.690
      160        2.029        4.664            0      494.695      452.082       86.477
      161        1.973        4.754            0      507.989      462.058       76.131
      162        2.008        4.480            0      479.406      410.627       81.507
      163        1.995        4.523            0      479.829      393.517       80.041
      164        1.887        4.730            0      506.076      444.268       71.890
      165        2.166        4.766            0      503.575      455.100       74.005
      166        2.314        4.927            0      506.696      497.795       73.315
      167        2.225        4.760            0      500.336      494.268       78.185
      168        2.171        4.686            0      498.798      523.476       75.369
      169        2.071        4.787            0      513.316      514.181       74.922
      170        1.975        4.517            0      488.783      459.834       72.377
      171        1.929        4.452            0      482.483      433.378       77.534
      172        1.902        4.632            0      494.084      482.522       76.077
      173        1.888        4.604            0      489.904      438.913       78.690
      174        2.014        4.488            0      482.694      479.160       77.057
      175        1.964        4.602            0      493.984      453.912       72.927
      176        1.996        4.539            0      491.506      457.779       76.583
      177        1.929        4.500            0      485.398      453.701       82.876
      178        1.848        4.648            0      498.250      466.914       79.733
      179        1.949        4.502            0      478.717      445.488       85.302
      180        1.957        4.598            0      492.161      391.041       84.969
      181        1.922        4.618            0      491.297      427.287       74.282
      182        1.950        4.501            0      481.201      455.709       78.913
      183        1.872        4.587            0      493.163      439.658       83.073
      184        2.075        4.487            0      485.324      435.076       76.825
      185        1.907        4.563            0      494.457      393.240       76.060
      186        1.865        4.479            0      487.699      444.444       79.032
      187        1.815        4.648            0      492.992      430.271       80.227
      188        2.011        4.564            0      491.326      451.030       74.334
      189        1.973        4.462            0      481.428      465.158       76.449
      190        2.004        4.508            0      497.582      478.954       79.384
      191        1.973        4.511            0      493.522      489.565       70.895
      192        2.141        4.445            0      480.381      428.023       84.126
      193        2.112        4.489            0      488.482      491.465       77.608
      194        1.901        4.619            0      488.589      465.587       76.552
      195        1.887        4.664            0      520.148      513.137       71.470
      196        1.964        4.688            0      510.301      500.891       76.847
      197        1.771        4.841            0      520.976      496.729       75.143
      198        1.798        4.583            0      518.735      422.823       73.344
      199        2.079        4.683            0      504.083      475.433       81.240
      200        1.744        4.801            0      521.306      550.236       79.081
      201        2.001        4.776            0      515.680      512.843       78.647
      202        2.027        4.686            0      508.612      463.431       89.597
      203        1.785        4.658            0      519.596      469.116       84.392
      204        1.633        4.802            0      515.122      505.537       81.093
      205        1.910        4.716            0      508.395      447.350       77.731
      206        1.862        4.619            0      513.207      472.000       85.162
      207        1.871        4.639            0      514.370      461.935       73.613
      208        1.837        4.590            0      507.666      506.072       74.275
      209        1.747        4.647            0      508.075      483.315       79.308
      210        1.873        4.691            0      510.297      517.225       78.441
      211        1.885        4.586            0      513.458      465.148       76.713
      212        1.890        4.556            0      509.058      479.493       75.176
      213        1.659        4.827            0      529.945      541.582       75.486
      214        1.984        4.653            0      512.538      506.885       75.668
      215        1.869        4.755            0      519.379      505.736       84.022
      216        1.870        4.695            0      511.159      450.415       78.161
      217        1.772        4.628            0      512.166      530.454       76.449
      218        1.871        4.592            0      515.950      519.810       74.150
      219        1.798        4.662            0      516.637      505.330       82.470
      220        1.769        4.558            0      519.103      473.813       77.846
      221        1.846        4.746            0      517.971      490.732       78.064
      222        1.813        4.713            0      514.481      485.842       81.616
      223        1.777        4.610            0      511.866      470.146       77.663
      224        1.837        4.792            0      510.090      473.018       86.349
      225        2.087        4.742            0      501.771      454.024       76.913
      226        1.794        4.655            0      512.686      437.361       77.581
      227        1.889        4.546            0      501.836      418.732       73.756
      228        1.876        4.662            0      512.020      477.482       81.013
      229        1.793        4.640            0      495.187      469.811       74.947
      230        1.960        4.609            0      502.250      475.418       77.677
      231        1.830        4.675            0      509.740      514.901       74.130
      232        2.013        4.545            0      494.407      425.904       76.195
      233        1.963        4.622            0      507.413      463.894       62.673
      234        1.893        4.530            0      489.935      414.546       78.133
      235        1.848        4.583            0      496.187      455.333       73.106
      236        1.998        4.561            0      499.073      465.760       77.288
      237        1.961        4.622            0      502.692      492.013       71.532
      238        2.000        4.519            0      490.542      438.606       79.769
      239        1.832        4.612            0      492.097      447.716       74.512
      240        1.875        4.530            0      490.695      388.824       83.200
      241        1.943        4.621            0      500.378      420.245       77.429
      242        1.846        4.625            0      492.403      470.059       72.302
      243        1.999        4.499            0      490.461      504.455       79.162
      244        2.199        4.395            0      480.659      478.166       69.768
      245        1.994        4.500            0      489.156      443.060       77.589
      246        1.948        4.572            0      492.306      419.127       76.292
      247        2.062        4.472            0      485.680      423.419       76.478
      248        1.906        4.580            0      490.277      432.723       76.723
      249        1.850        4.581            0      498.031      437.900       78.257
      250        2.050        4.745            0      502.317      464.851       87.787
      251        1.938        4.675            0      516.313      482.768       73.104
      252        1.744        4.700            0      517.013      463.032       77.835
      253        1.949        4.563            0      488.995      419.132       87.796
      254        2.063        4.429            0      486.281      427.535       67.607
      255        2.047        4.502            0      490.244      434.815       78.182
      256        1.968        4.467            0      486.433      462.565       73.500
      257        1.925        4.568            0      497.072      430.951       73.349
      258        1.981        4.451            0      476.623      434.092       80.979
      259        2.112        4.571            0      496.119      457.104       77.081
      260        2.160        4.385            0      479.294      430.117       76.396
      261        2.021        4.422            0      480.220      447.307       81.196
      262        2.238        4.412            0      480.482      433.473       74.161
      263        1.988        4.357            0      481.375      416.487       77.239
      264        2.005        4.375            0      476.743      402.661       75.356
      265        1.937        4.576            0      499.656      448.956       80.506
      266        2.086        4.472            0      490.191      475.036       70.538
      267        2.062        4.459            0      489.153      490.732       76.369
      268        1.967        4.539            0      499.875      468.536       80.294
      269        1.866        4.622            0      497.444      506.309       82.611
      270        2.017        4.433            0      479.806      447.413       78.165
      271        2.066        4.390            0      475.215      447.391       77.098
      272        2.100        4.445            0      487.576      426.071       76.241
      273        2.137        4.405            0      481.509      404.638       74.794
      274        2.028        4.480            0      484.574      417.856       76.078
      275        2.093        4.424            0      482.886      411.725       75.663
      276        2.144        4.424            0      481.940      435.772       77.127
      277        1.950        4.512            0      490.161      445.548       72.543
      278        1.986        4.489            0      485.945      488.214       79.035
      279        2.047        4.511            0      487.532      473.589       77.547
      280        1.942        4.518            0      484.508      474.326       79.041
      281        2.031        4.445            0      477.359      475.676       88.062
      282        2.000        4.455            0      481.711      472.006       74.984
      283        1.929        4.590            0      489.252      426.177       78.475
      284        1.971        4.518            0      493.680      455.921       78.019
      285        1.855        4.630            0      503.385      412.766       76.938
      286        2.018        4.584            0      500.415      501.321       75.505
      287        1.953        4.652            0      520.790      529.821       74.419
      288        1.926        4.652            0      512.346      544.294       83.336
      289        1.895        4.573            0      515.156      512.377       79.049
      290        1.873        4.746            0      518.192      508.194       73.940
      291        1.885        4.585            0      514.644      488.888       71.872
      292        1.772        4.748            0      517.836      527.696       74.712
      293        1.895        4.617            0      508.004      492.924       74.759
      294        1.875        4.698            0      507.129      451.146       77.064
      295        1.849        4.536            0      487.658      474.903       82.784
      296        1.925        4.568            0      487.972      456.122       78.559
      297        1.951        4.574            0      491.800      470.454       82.743
      298        1.948        4.505            0      484.119      486.609       79.942
      299        1.864        4.561            0      490.872      484.274       80.154
      300        2.019        4.486            0      484.433      450.283       74.384
      301        2.035        4.572            0      496.124      453.808       76.038
      302        2.146        4.460            0      483.522      440.354       75.888
      303        2.032        4.490            0      480.304      459.970       84.171
      304        2.236        4.437            0      479.345      437.355       78.242
      305        2.058        4.498            0      489.364      425.843       78.219
      306        1.969        4.527            0      487.492      456.207       79.482
      307        2.028        4.550            0      484.757      493.699       80.791
      308        2.008        4.476            0      485.570      435.640       78.090
      309        1.890        4.541            0      492.319      460.038       85.300
      310        1.928        4.483            0      481.190      454.307       86.287
      311        1.964        4.533            0      486.759      439.034       80.645
      312        1.966        4.483            0      483.524      464.432       75.936
      313        2.184        4.373            0      478.410      408.551       76.069
      314        2.101        4.413            0      479.095      424.990       76.453
      315        2.006        4.431            0      479.442      431.805       77.298
      316        1.889        4.536            0      489.575      465.342       80.170
      317        1.943        4.510            0      489.652      451.424       83.057
      318        1.995        4.493            0      482.694      429.073       80.775
      319        2.155        4.399            0      478.602      424.765       78.970
      320        1.920        4.502            0      482.874      442.809       78.613
      321        2.095        4.365            0      478.552      429.323       75.247
      322        1.957        4.635            0      506.553      533.207       78.242
      323        1.792        4.710            0      514.020      542.571       75.442
      324        1.951        4.582            0      506.944      513.147       77.418
      325        1.911        4.745            0      514.419      551.238       73.056
      326        1.939        4.605            0      496.120      525.351       81.281
      327        1.873        4.682            0      503.097      492.655       81.793
      328        1.853        4.495            0      483.427      433.559       72.741
      329        1.864        4.531            0      484.930      476.782       78.668
      330        2.291        4.478            0      491.885      445.794       75.527
      331        1.951        4.459            0      487.914      483.084       76.793
      332        1.880        4.529            0      494.501      467.993       73.693
      333        2.013        4.298            0      462.656      467.493       85.462
      334        1.901        4.504            0      482.681      431.955       87.211
      335        2.003        4.544            0      485.900      482.088       82.844
      336        2.036        4.704            0      502.306      489.792       72.565
      337        2.049        4.588            0      481.185      455.576       82.162
