## Torsion are defined with the following atomIDs:
# dihed1: ai= 2442 aj= 2443 ak= 2444 al= 2445
# dihed2: ai= 2441 aj= 2440 ak= 2438 al= 2437
# dihed3: ai= 2440 aj= 2438 ak= 2437 al= 2436
# Frame#   dihed1   dihed2   dihed3
194 -168.196  -33.935  177.792
195  135.097  -45.581 -178.584
196  -67.937  -26.306  169.147
197   55.348  -33.475  174.249
198   69.036  -56.146  161.426
199  127.665  -10.358  157.553
200  119.959    2.738  144.671
201  110.243  -51.697  173.434
202 -104.734  -16.938 -178.928
203  -54.638  -30.184 -163.171
204 -139.869   45.775 -178.538
205 -119.609   56.640  158.626
206   38.907   35.315  175.910
207   95.667   46.851 -179.971
208  173.630    8.125 -172.667
209 -158.268   67.629  167.040
210   90.151   71.852  172.123
211  118.732  133.937 -171.951
212  -64.663  159.045  179.298
213  132.684  145.578  164.700
214  127.706  160.819  143.027
215  -93.736  163.208 -179.639
216  -56.785  159.694  161.018
217  124.476  163.878  157.177
218  135.128  152.284  161.272
219   71.712  164.464  150.585
220   37.761  140.327  165.015
221  164.446  149.685  162.559
222 -136.918  155.455 -176.487
223  149.610  138.130 -134.846
224   15.150  149.263 -174.336
225  -47.854  163.798  179.698
226 -119.549  151.397  171.193
227   48.586  168.820  177.087
228   22.894  172.231  168.424
229   19.811  162.928  138.541
230   47.104  154.195  172.847
231  135.210  132.501  177.356
232   10.872  129.694 -167.841
233  -92.181   63.119  157.439
234  109.525   -0.011  139.828
235  -33.624  -11.262  164.271
236   56.421    7.314  140.180
237   42.947  -15.994  157.454
238   15.719  -26.248  176.729
239  130.150  -40.386 -177.764
240  143.082  -52.910 -170.884
241  136.122  -59.842 -160.094
242   74.040  -57.509 -164.903
243   24.610  -32.486  171.059
244  -18.901  -40.818  179.889
245   85.578   -7.732  140.574
246   -4.470  -45.151 -174.238
247  -24.015  -29.873  175.184
248  -41.121  -32.111  170.341
249   14.852   -4.277  149.406
250 -107.266  -25.517  175.429
251  177.916  -14.235  145.970
252 -145.743   -7.500  144.918
253 -134.493  -46.027  172.504
254  174.142    6.548  151.137
255  103.164  -35.632  177.554
256 -176.664  -61.215 -175.351
257 -144.750  -34.887 -179.025
258   19.892  -34.841  177.677
259   73.187  -43.669 -168.249
260 -116.149  -33.341 -179.250
261  172.640  -49.516  177.210
262 -148.476  -37.213  161.950
263  102.373  -43.546 -164.410
264   78.960  -44.740 -178.203
265   43.581  -42.169 -177.834
266  123.348  -26.924 -177.859
267  -17.914  -34.338 -177.808
268  -95.048  -53.469 -178.613
269  143.875  -36.858  178.770
270    2.914  -54.062 -175.467
271 -172.017  -45.043 -172.429
272 -169.912  -41.743 -155.736
273   25.185  -15.407 -176.364
274   79.169  -45.588 -168.060
275   -9.564  -39.546 -177.294
276  -45.732  -29.113  179.236
277 -120.829  -37.758 -174.467
278   35.396  -45.794  168.398
279  173.491   28.778 -170.374
280  150.016  -39.816  169.503
281   91.509  -49.130 -178.608
282  118.555  -52.156 -179.546
283   36.072  -28.921  165.897
284 -163.109  -24.096  169.250
285  -47.131   48.258 -158.752
286  176.023   32.565 -163.274
287  138.032   61.763  165.893
288 -134.016  140.473  168.296
289   89.593  148.942 -165.781
290  -49.642  151.496  161.605
291  134.837  140.698 -172.136
292   24.406  147.935 -178.943
293 -176.307  147.476  175.441
294 -102.731  148.744 -170.556
295  162.990  147.416  177.381
296  -16.090  132.458 -178.696
297  141.993  139.188 -158.445
298   54.715   44.451  178.857
299  -93.310  -21.866 -137.014
300  -72.133  -43.002 -152.780
301  -60.735 -143.233 -172.069
302  153.956 -147.567  177.254
303 -110.943 -128.689 -164.101
304   58.184 -133.811 -167.922
305  -81.236 -128.368 -166.518
306  167.066 -130.835  179.276
307  170.581 -143.654 -167.162
308  -17.385 -156.235 -150.988
309   -2.412 -137.481 -173.842
310   62.717 -157.411 -167.421
311 -165.466 -150.346 -168.506
312  -77.780 -154.891 -151.914
313 -139.342 -150.263 -165.865
314  -81.263 -132.047  174.346
315   88.379 -140.616 -172.803
316   55.046 -156.992  177.985
317   79.523  150.573 -153.979
318    5.396 -128.835 -179.744
319   34.580 -143.245 -170.098
320  139.595 -175.608 -161.682
321  -14.570 -128.750 -168.853
322  114.335 -171.757 -145.805
323   84.709  137.291 -156.183
324 -134.959 -134.072 -163.744
325 -140.978 -157.353 -165.925
326  136.506 -164.792 -151.256
327   68.479 -156.283 -172.917
328 -109.920 -137.294 -171.590
329   92.303 -144.230  177.159
330 -163.619  148.313 -155.365
331   13.235 -149.015  179.523
332  -16.674 -155.986 -156.971
333   12.177 -149.701  175.000
334   77.554 -126.345  172.956
335 -115.591  -48.417 -137.761
336  108.279   54.379  177.674
337  149.257   32.821  176.931
338   -0.852   29.273 -169.918
339  -30.582   35.873 -175.784
340    6.917   30.933 -177.288
341  -69.156   50.099 -177.672
342  -12.123   36.010  178.521
343 -126.996   65.315  179.995
344  105.675   31.552  173.574
345  -77.311   34.378 -173.483
346   11.279   25.772 -165.366
347  -98.902   35.396 -166.404
348 -160.394  -44.296 -131.999
349   32.951  -57.799 -158.335
350 -109.803   35.819 -164.628
351 -132.875   45.329 -174.878
352 -106.111   28.169 -172.462
353  -19.505   39.289  171.198
354  -14.352   52.873 -162.848
355   26.905   28.209 -176.360
356 -162.022   54.564 -171.413
357  103.144   31.609  177.520
358   81.974  -26.845 -159.287
359   44.039  -48.163 -155.239
360    5.668  -49.821 -145.384
361 -101.178   53.129 -167.924
362  -93.718   51.705  174.897
363   16.328   33.512 -161.994
364  152.636   48.706 -174.113
365  -90.539   32.660 -179.611
366    7.228   37.133 -166.362
367 -103.887   13.733 -164.485
368  115.690  152.909 -158.057
369  172.817   39.006 -169.514
370  154.042   58.865  177.622
371   44.240   43.700 -159.908
372   48.898   19.487 -167.075
373   80.204   41.506 -170.149
374 -175.260   26.537 -156.057
375  -64.965   34.983 -173.501
376 -114.910   49.792 -169.972
377   -5.454   49.276  177.422
378  -52.511   52.788  168.156
379 -148.766   70.356  170.445
380  -55.788   23.347 -165.322
381  -13.216   43.492  172.591
382  -19.711   32.334 -170.638
383  -36.280   47.546 -176.827
384  -95.109   35.954  178.673
385  173.974   33.065  170.360
386   -2.163  -12.093 -159.201
387  135.606   52.647 -177.496
388  -46.336   39.186 -175.662
389    5.412   48.202  177.928
390  -31.502   53.319 -156.101
391  133.242   37.135  176.821
392  -99.769   43.179  178.352
393  115.546   36.074  176.334
394   35.646   43.334  175.632
395  -54.900   40.506 -177.602
396  -77.659   39.894 -175.441
397   80.745   34.423 -162.698
398 -143.413   41.964  172.263
399 -124.273  -58.201 -152.579
400   46.921  -55.433 -167.850
401  -41.538  -35.839 -160.761
402    0.376  -26.921 -147.246
403 -170.265  -27.881 -154.977
404 -120.196  -42.489 -159.759
405  147.772  -34.209 -162.020
406    0.513   24.741 -156.893
407    5.548   35.996 -166.101
408  -39.540  -18.854 -158.067
409  155.987  -52.754 -146.144
410  102.916   31.113 -171.349
411 -112.346   33.049 -163.836
412  126.432  -45.838 -141.149
413 -109.182 -155.914 -155.011
414  -72.633 -123.277 -167.352
415 -168.570 -130.069 -165.146
416  -80.332 -129.254 -172.189
417   88.859  135.148 -170.551
418  168.915  135.662 -161.491
419  -81.150 -141.302 -162.466
